Job Code,Job Title,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
85215,Tutor Advanced TN ALL Corps,"TN ALL Corps grant-funded tutors will provide direct literacy instruction to identified students in the assigned school(s).  Tutors will utilize the provided curriculum materials and work in collaboration with classroom teachers to deliver instruction and assess student progress.  Tutors will maintain accurate and timely attendance and progress monitoring data in accordance with grant requirements.  Tutors will provide student progress updates to families via monthly progress reports.  This position is contingent upon grant funding and the continuing availability of funds and is expected to last until June 30, 2024.",Bachelor's Degree  Required,1-3 years Related experience Preferred,"Provides direct literacy or math instruction to identified students in small group settings of no more than three students per session using provided curriculum materials.
Completes required academic progress monitoring assessments with students and logs assessment results in required system(s).
Completes all required TN ALL Corps and Accelerating Scholars tutor training modules/courses.
Ensures that students receive the intended amount of tutoring by meeting with students at least twice a week for a minimum of 90 total minutes per week.
Maintains accurate attendance records by marking attendance in MNPS’ online tutoring platform after each tutoring session.
Provides monthly progress updates to families using provided progress reports.
Collaborates with school staff and faculty to assess the needs of children and to determine how best to address those needs.
Participates in educational team meetings, including ongoing professional development and review of progress.",,"Excellent verbal and written communication skills, present information accurately and clearly.
Demonstrate patience, encouragement and understanding when working with students
Must be flexible to meet the needs of the students and the school
Knowledgeable in the use of standard office computer programs and a variety of educational programs
Excellent analytical and organizational skills
Must be able to motivate students using mature judgment, initiative, tact, flexibility and emotional stability"
88652,Instructor JROTC Air Force,"Air Force JROTC is a full program, and not confined to the ""regular"" school day and not confined to the classroom. Air Force JROTC instructors conduct academic classes during the regular school day, but also supervise Leadership Development Requirements (LDRs) after regular school hours. LDRs are experiential learning activities like drill teams, academic bowl teams, marksmanship teams, etc. A robust and successful AFJROTC program will often have several active LDRs at any time of year. General Job Description > Air University (AU) > Air Force Junior Reserve Officer Training Corps (af.edu)",Master's Degree  Preferred," Enlisted instructors Retired noncommissioned officer with at least a Bachelor’s degree  Extensive experience in leadership, supply, administration, drill and ceremony, teaching, and many have experience working with youth groups Required","Air Force Junior ROTC (AFJROTC) will provide a quality citizenship, character, and leadership development program, while fostering enduring partnerships and relationships with high schools, educational institutions, and communities that help meet the AFJROTC citizen development mission.
Conduct Academic Classes. An Air Force JROTC Instructor is expected to prepare for and teach periods of instruction of 45 to 90 minutes each, for as many as 4 to 6 periods per day, depending on the school’s schedule.
Lead Before and/or After-School Activities. An Air Force JROTC Instructor is expected to coordinate and lead a variety of school activities, possibly held before or after each school day, both indoors and outdoors. These after school activities may include physical training events, academic clubs, rocketry teams, marksmanship teams, along with performing drill instruction and demonstrating drill sequences. Leading after school activities involves significant organizational skills, strong teambuilding skills, and physical stamina.
Lead Off-Campus Events. An Air Force JROTC instructor is expected to lead field trips to historical sites, visits to local government agencies and military installations, and to march in parades with their cadets. Leading off campus events involves significant organizational skills, physical stamina, and the ability to remain calm in hectic situations.
Successfully incorporate Air Force JROTC-approved interactive learning software/hardware with classroom instruction, and have a competent knowledge of curriculum planning, Air Force educational programs, drill and ceremonies, and educational administration, including tests and measurements. Academic, administrative, logistical, financial support tasks, and after-school activities will be equally shared by all instructors as regular duties.
Clearly convey course material to cadets.  Grades cadets’ work and provides academic feedback.  Provides a safe and efficient learning environment.
Challenges motivate, and influence the students of JROTC to develop positive character attributes.
Adhere to local, state, and federal laws and regulations, as well as the District’s policies and procedures."," Complete the mandatory Air Force Junior ROTC Instructor Certification Course (JICC) as a condition of certification  Required
 TN Department of Education licensed JROTC Instructor  Required","More specific degree, certification, and experience requirements will be included in the position announcement as vacancies occur."
80726,Analyst ESEA Compliance,"Provides coordination, direction and grant documentation procedures to ensure federal and state compliance. Coordinates ESEA compliance reports, and assists with management of state and federal monitoring events. Collaborates with Federal Programs staff to ensure schools, and the district, are compliant with State and Federal laws, regulations, and guidelines for use of Federal Funds and are compliant with State and Federal laws, regulations, and guidelines for use of Federal Funds and the administration of State and Federal grants.",Bachelor's Degree in a related field Preferred,"4-6 years Applicable experience, including working with database software [A5]and proficiency in Microsoft Office Suite, SharePoint, Adobe, Website design/development, with expert level experience in Excel Required","Collaborates with the Grants Management Team in the Office of Federal Programs to ensure compliance with federal, state, and local laws, regulations and guidelines Develops, communicates, and implements standards for documentation for federal and state compliance requirements; gathers documentation provided by all sources and makes timely response to all requests for compliance documentation.
Develops and manages SharePoint software to include troubleshooting, training, and updating as needed.
Manages and completes Time and Effort reporting at the district and school level for state/ federal compliance; completes state/federal Comparability reporting requirements; assists with other ESEA grant compliance and documentation responsibilities
Assists with management and oversight of state and federal monitoring visits; collects, compiles, and archives grant documents for monitoring
Collaborates  with other department personnel to provide training for grant managers on documentation and compliance
Provides XXXX MATERIALS for publication on the MNPS website for Federal Programs and Grants, making certain information stays current with all changes in rules and programs.
Collaborates with the Grants Management Team in the Office of Federal Programs to ensure compliance with federal, state, and local laws, regulations and guidelines
Assists with project plans within the department, including but not limited to documentation, risks and mitigation, communications and project schedule with the business sponsor; identify requirements and tracking measurements.",,"Knowledge/understanding of Federal and State laws and regulations.
Analytical, mathematical, collaboration of ideas, demonstrated ability to train before a large group.
Demonstrated high level capability in using technology, specifically, all Microsoft Office applications and an ability to use enterprise level applicatins as part of a larger team."
89766,Liaison HR Employee Relations Legal,"Act as Legal Liaison for all Employee Relations matter requiring legal support/guidance.  Supports the Employee Relations department through partnering with MNPS Leadership, to support resolution of disputes between workers and managers, negotiates collective bargaining agreements, and/or coordinates grievance procedures to handle employee complaints. Monitors company or workforce adherence to labor agreements.", Juris Doctor (JD) degree in employment law or related area Required, Minimum of eight years’ applicable employee relations experience including experience working with bargaining units and ten years is  Preferred,"Advises management (often via presentations) on matters related to the administration of contracts or employee discipline or grievance procedures.
Calls or meets with union, company, government, or other interested parties to discuss labor relations matters, such as contract negotiations or grievances.
Drafts contract proposals or counter-proposals for collective bargaining or other labor negotiations.
Drafts rules or regulations to govern collective bargaining activities in collaboration with company, government, or employee representatives.
Investigates complaints of harassment, Investigates validity of unemployment claims, responds to the EEOC on behalf of MNPS.
Interprets contractual agreements for employers and employees engaged in collective bargaining or other labor relations processes.
Investigates and evaluates employee or union complaints to determine viability.
Mediates discussions between employer and employee representatives in attempt to reconcile differences.", Valid TN Law License  Required,"Ability to administer a broad range of employee-issues and labor relations matters related to (but not limited to): investigation and resolution of grievances and complaints;
Proactive progressive corrective action guidance, training and planning in regard to employee/labor laws and compliance;
Negotiations, interpretation and execution of labor agreements;
Counseling managers and employees on the interpretation of policies, procedures and union agreements."
86997,Spec Customer Experience II,"The Specialist serves as the subject matter expert for all items of foundational technology, software, and operating systems.  Works across all sections supporting the end users to ensure a consistent user experience with technology services.   Works with Technology Services Departments and end-users throughout the District to identify, test, and implement hardware and software solutions to user needs.
",Bachelor's Degree or relevant work experience Required,1-3 years Technical support role Required,"Monitors and troubleshoots issues related to the performance of deployed hardware.  Tests possible changes and makes recommendations that are targeted to improve performance and usability.
Performs Mobile Device Management configuration and management of various systems.
Coordinates with Business Owners and Product Managers to document and solve support solutions.
Consults with all stakeholders to recommend modifications to improve the technical usability of systems.
Coordinates with other Technology Services department groups to address hardware, software and operating system issues related to the customer experience.
Prepares and monitors change control requests required by changes to foundational hardware, software, and operating systems.
Monitors technology trends and serves as a liaison to vendors of foundational technology.  Responsible for evaluating and recommending technology hardware and software.
Monitors technology trends and serves as a liaison to vendors of foundational technology.  Responsible for suggesting and evaluating new items of technology hardware.","DL NUMBER - Driver License, Valid and in State   Required
 Certification in one or more Operating Systems including Windows10, MacOS, iPadOS
  Preferred","Exceptional judgment and professionalism, with the ability to adapt to a changing environment.
Must be a team player with the ability to work collaboratively with others.
Ability to be flexible in prioritizing key activities, while managing / meeting stakeholder expectations.
Ability to manage multiple assignments and meet all required timelines.
Technology, hardware, software, operating system, and network knowledge.
Able to assess, diagnose, and troubleshoot technical issues.
Strong communication and collaboration skills."
80274,MGR Grant,"Ensures the compliant programmatic and fiscal management of assigned grants. Spearheads the work needed to ensure successful implementation, reporting, evaluation, and closeout of assigned awards that results in the accomplishment of award objectives. ",Bachelor's Degree  Required,"3-5 years prior experience managing grants including experience with managing grant-funded projects, budget development, and related oversight responsibilities  Required","Ensures the compliant administration of assigned grants in accordance with federal, state, and local requirements, including 2 CFR Part 200; implements, tracks, monitors, evaluates, and ensures completion of all programmatic activities required by assigned awards including close out.
Implements processes in alignment with existing MNPS policies and procedures to charge expenses to grant accounts (payroll, supplemental pay, travel, non-personnel, etc.); tracks and monitors expenses charged to grant accounts to ensure alignment of charges with approved budget narrative and budgeted amounts; works with Grant Fiscal Team to ensure timely spending of grant funds, accuracy of charges on grant accounts, and fiscal compliance; utilizes resources and tools such as budgeting platforms, ERPs, and Excel to support effective management of grant funds.
Determines allowability of grant charges through the review and approval of requisitions, spend authorizations, and reimbursement requests for assigned grants; ensures completion of procurement process for all grant-funded transactions; regularly reviews costing to ensure accuracy of personnel charged to assigned grants.
Prepares and submits all required reporting and evaluation for assigned grants including award closeout; manages documentation for assigned grants; responds to requests from MNPS teams as well as external auditors and monitors.
Woks with other departments to develop RFPs, RFQs, etc. that result in the issuance of contracts and MOUs necessary to ensure successful implementation of assigned awards.
Communicates and collaborates with internal and external stakeholders such as Federal Programs, Procurement, Financial Operations, Division of Teaching and Learning, Human Resources, vendors, community organizations, and more throughout the life of the grant as necessary for the accomplishment of grant objectives.
Stays abreast of federal, state, and local laws, policies, and regulations regarding the compliant administration of assigned grants.
May assist in training staff or other stakeholders in programs or initiatives related to assigned grants.
Provide support, supervision, and evaluation to staff depending on assigned grant.",,"Project and Budget Management
Organizational and Communication skills
Problem-solving skills and Critical Thinking
Strategic Planning
Ability to Drive Vision and Purpose
Resourcefulness and Adaptability
Knowledge of grant management practices and compliance guidance
Ability to interact with a variety of stakeholders"
80230,Asst Materials Control,"Handles the clerical and manual tasks involved in the receipt, verification, storage and issuance of equipment, materials and supplies in MNPS' Distribution Center. Keeps accurate accounts of stock usage, storage and ordering. Operates stand up and regular tow motors.
",High School Diploma  or GED Required," Minimum of two years directly applicable experience, including working to resolve issues with customers Required","Handles incoming and outgoing shipments, verifies new merchandise against purchase orders and invoices, and transfers merchandise according to requisitions.
Establishes and maintains effective working relationships with internal and external customers to provide delivery of orders within designated time parameters.
Collaborates with stakeholders to troubleshoot and reconcile inventory disputes and discrepancies.
Follows all federal, state and local materials management policies and procedures.
Coordinates inventory deployment schedules with corresponding departments.
Maintains outstanding orders, purchase orders and requisition files; conducts regularly scheduled physical inventories.
Assists in continuous process improvement over materials management workflow.","DL NUMBER - Driver License, Valid and in State  Upon Hire Required","Extensive content knowledge of visual art in public education
Strong reading
writing and speaking skills
Positive mindset
Ability to develop a plan and execute the details
Strong organizational abilities
extensive relationship-building skills
Collaborative spirit and openness to new ideas
Strong peer network"
86529,Designer STEM Instructional Lead,"At the direction of the Department of Curriculum and Instruction, the District Lead STEM Instructional Designer builds district capacity in standards-based authentic learning through the development and facilitation of comprehensive STEM curriculum. In collaboration with the STEAM/Science department, the District Lead STEM Instructional Designer supports the goals and mission of the Curriculum Department to provide students with the knowledge, skills, and experiences they need to solve the problems of the 21st Century as they move into high school, college, and careers.",Master's Degree With five years of experience Preferred," Five years’ experience of proven instructional leadership as a Dean, Assistant Principal, or Instructional Coach Experience and knowledge of STEAM curriculum, project management, adult learning theory, professional development best practices, grants, and curriculum development    Preferred","Leads development of a comprehensive STEM curriculum and the process for the evaluation, selection, and acquisition of instructional materials, supplies, equipment and other resources to support the curriculum.   Collaboratively plan, design and develop in person, online and/or hybrid courses, modules, learning objects, learning materials, asynchronous and synchronous learning activities, and other related materials to implement the STEAM mission/vision.  Included, but not limited to designing and facilitating professional development experiences with STEAM educators and partners  through to a core set of beliefs about teaching and learning, ongoing professional development, and active team membership..
Extensive knowledge of curriculum; as well as possess technical knowledge and skills  to operate current and cutting edge STEAM technology and embed into the curriculum.  Included, but not limited to analyzing data and information that show evidence of effective decision-making skills and management skills; and evidence of enthusiasm, job tolerance, initiative and strong work standards for self and others.
Builds district capacity of funded STEM grants through the facilitation of high-quality STEM programming that aligns with state education standards and district scope and sequence;
Work with the Executive Director of STEAM and Science, and other district staff to implement the STEAM program. In addition to, work with district level curriculum specialists to ensure the integration and coordination of the STEAM mission and vision and the comprehensive school reform model with the district’s program. Work with the District STEAM Department and other district staff to implement STEAM?
Coordinate instructional design projects from inception to completion, document those projects and processes, measure results, and write reports. Ensure projects meet accessibility and university design for learning standards for quality and innovation.
Active knowledge & interest in STEM learning theory and emerging approaches to STEM-focused learning, including, but not limited to, Engineering Design Process, Problem Based Learning, social networking, mobile learning, and authentic learning while maintaining progressive knowledge of the trends in instructional design, learning methodologies and learning technology solutions.
Commit to a core set of beliefs about teaching and learning, ongoing professional development, and active team membership.", Certificated teaching license in Tennessee  Required,"Strong interpersonal and leadership skills;
Ability to relate and interact positively with teachers, other staff, students, administrators, central office personnel, parents, and the public;
Ability to communicate effectively in written and oral form;
Competency in adult learning theory and the development and leadership of professional learning opportunities for instructional staff and parents"
85422,Teacher CTE Audio Tech,To teach secondary level students in one or more Career and Technical Education (CTE) subjects. Incorporates current knowledge of industry practices and trends. ,, Must have five years of relevant experience in the past eight years  Required,"Develops and presents specific lesson plans, using a variety of techniques, including lectures, projects, exhibits, field trips, audiovisual and library resources, computers, and the Internet. Prepares assignments and assessments for in-school preparation and homework.  Monitors, assists, corrects, and grades student performances. Conducts standardized tests in accordance with district policies and state law.
Maintains order in classroom, and, in conjunction with administrative staff, administers discipline when necessary to achieve proper behavior.  May prescribe extra assignments or detention in cases of student misconduct.
Shares, with other teachers and aides, responsibility for monitoring halls, study periods, and lunchroom. Counsels students when academic difficulties or behavioral problems arise.
Keeps records of academic performance, attendance, and social acclimation.  Reports on all aspects of student development for school records and parents; conducts parent-teacher conferences on both a regularly scheduled and as-needed basis.
Consults with other professionals where there appears to be evidence of learning disabilities, drug or alcohol abuse, or problems of social adjustment.  Coordinates decisions with parents concerning any specialized intervention that appears warranted.
Works with guidance counselor in helping student to select course of study or college. Recommends promotion and/or placement of students in appropriate classroom situation for ensuing year.
Performs related duties, such as sponsoring a student organization or activity.
Participates in faculty meetings, educational conferences, professional training seminars, and workshops.", Must hold a current certification in ProTools Upon Hire Required,
80930,Dir External Communications,"Oversees development of communications content and implements the public voice of the director, school board, and the district. Manages special issues and projects of for the office of the director. Oversees and executes corporate writing (including: speeches, talking points, videos, op-eds).  Assists in carrying out the District narrative through key media placements, timed communications and events or activations involving the director or their executive level staff.","Bachelor's Degree in Communications, Public Relations, Journalism or English from an accredited university Required"," Minimum of 5 years of communications, public relations or related experience Required","Works with the Executive Officer of Communications & Community Engagement to plan and execute communication strategies, including project-specific communication, community engagement and marketing plans. Coordinates activities as needed with the Internal Communications Director.
Assists in the management and support of communications staff, including the hiring and evaluation of employees and assigning appropriate tasks.
Guides strategy regarding the development and distribution of information for the district’s stakeholders with support from the communications staff, including website copy, blog posts, press releases, social media posts, marketing materials and other content.
Serves as a content strategist regarding the district’s media plans. Serves as the Public Information Officer/Press Secretary when the Executive Officer is unavailable and assists with public records.
Ensures that communications training and resources for principals and other district staff are conducted in coordination with the Executive Officer of Communications & Community Engagement, and Internal Communications Director, as well as other communications staff.
Shares project management responsibilities with other communications staff. Helps implement an integrated, proactive media/social media relations strategy, oversight of the digital newsroom, the production of media relations tools and media pitches, and message development and response.
Other duties as assigned.",,"Excellent communicator in all forms and with all audiences.
Able to negotiate pressure filled situations effectively and with good will.
Able to represent the interests of the Director of Schools and the District with integrity and grace.
Possesses a service orientation to foster strong internal and external relationships; and strong organizational skills in managing projects and disseminating information across a variety of channels and audiences.
Ability to manage multiple projects and work collaboratively and professionally with others."
86970,Analyst IT EDFI Data,This position is funded by the Ed-Fi ODS grant provided by the Michael and Susan Dell Foundation.  Currently the grant has funding commitment until November 2019. Perform data analysis and lead collaborative efforts with a cross functional team to map data elements from the Student Information System (Infinite Campus) to the Ed-Fi data standards.  Possess an in-depth knowledge of the Ed-Fi data standards and SIS data structures.  Facilitate the data governance process to guide team collaboration and assure project milestones are met.  Develop and implement data validation processes to confirm the data stored in the Ed-Fi ODS is aligned to the Ed-Fi standards and meets the operational business needs. Must have critical thinking skills and be self-motivated to learn new technologies. Ability to work independently with minimal supervision as well as with team members from various departments is highly desired.,Bachelor's Degree or equivalent work experience Required, 3-5 years in K-12 education data analysis and experience leading cross-functional teams Required,"Maintain knowledge of current Ed-Fi data standards and provide guidance to internal staff regarding the implementation of the Ed-Fi data standards.
Perform data analysis of the data stored in the Student Information System (SIS).
Facilitate discussions with a cross functional team to map SIS data elements to Ed-Fi APIs used to send data to the District’s Ed-Fi ODS.
Develop and implement project plans to assure project milestones are met for loading the data resources as defined in the Ed-Fi ODS grant.
Research best practices for data governance and data management to improve overall data quality for the Ed-Fi ODS.
Document technical work clearly, comprehensively and concisely.
Proactively communicate status and issues, especially if they have the potential to impact the project delivery or quality.
Review all technical deliverables with assigned technical subject matter experts and apply critical thinking. Critique architectures, technical designs, communicate observations, provide remedies to strengthen and improve solutions.
Generate and validate test cases for a given solution
Provide support to internal client support team by identifying problems, researching answers, and guiding client support through corrective steps",,"Strong knowledge of the Ed-Fi data standards and K-12 education data.
Familiarity with Student Information Systems (SIS) and other K-12 education applications.
Project management skills and ability to lead a cross functional teams.
Experience with K-12 data analysis, MS-SQL queries, and other data analysis tools to create proposed solutions for mapping SIS data to Ed-Fi data standards.
Self-starter that can work well in a team environment with a passion for learning new technologies and enhancing existing skills."
89300,Driver Truck,"Safely operates vehicles and assists others with any assigned work.  Required to operate dump trucks, box trucks and flatbed trucks.  Drives vehicles and equipment assigned for use on the jobs and is able to follow oral and written directions.  
",High School Diploma or GED Required, Experience driving and operating construction and/or maintenance trucks Preferred,"Operates dump trucks, box trucks, flatbed trucks and fork lifts.
Performs assigned work as required.
Organizes/prioritizes work to accomplish assigned work orders in a timely fashion.
Operates vehicles effectively and safely for each assigned job.
Drives assigned vehicles in optimal operational condition.
Learns and applies MNPS’ preferred methods and practices on a variety of tasks.
Establishes and maintains effective working relationships with others.
Follows oral and written directions and instructions.",CDL - Group B - Commercial Drivers License   Required,
80306,Dir Library Services,"The essential function of the Director of Library Services is oversee the school library programs across the district. Director of Library Services also develops and implement programs, supervise librarians and staff, provides professional development and collaborate with administrators, librarians and community partners. 


",Master's Degree in Library & Information Sciences Required," Minimum 2 years directly applicable experience supervising school librarians
 Required","Works with librarians, instructional coaches, administration and department heads to implement library best practices and vision to support student learning.
Provides leadership in planning, developing, implementing, and evaluating
library programs while ensuring compliance with all federal, state and
local mandates (e.g. laws, regulations, policies).
Develop and oversee budget(s) to support school library goals and vision.
Evaluate librarians on instruction, use of facilities, resources, equipment and services.
Collaborates with Facility Planning and Construction and partners on renovation and construction projects to design learning spaces and libraries to support student learning.
Provides K-12 professional development for all school librarians and clerks on informational literacy, technology integration and blended learning.
Collaborates with Nashville Public Library and other community organizations on special projects and outreach programs.
Supervise Library Services staff members.
Oversees the work of Manager  - Technical Specialist and support for of the district software acquisition and approval process.", Tennessee Administrative license Upon Hire Required,
85478,Mgr Cafe Wellness Center,"Cafe Manager performs several job duties and provides customer service. Manager takes orders and makes coffee, tea, and other drinks to customer specifications. Manager will also prepare and sell a variety of stocked food items. Operate cash registers and credit card machines and field customer complaints or questions.  Manager must often clean coffee machines, service area and preparation area during a normal shift. Manager works to maintain good customer relations and speedy delivery of all beverages as well as complete assigned tasks from management every day.", Graduation from high school or equivalent Required, Barista experience Preferred,"Welcomes customers and ensure that the “Service Experience” of the cafe is consistently offered to all the customers as well as maintaining quality store operations.
Prepares and sells coffee drinks by following prescribed recipes and preparation techniques for coffee drinks, such as, expresso, café latte, cappuccino and iced coffee.
Orders and maintains inventories by replenishing coffee bean supply; stocking coffee brewing equipment; sundries and ensuring adequate inventory of all food related items.
Maintains safe and healthy work environment by following organizational standards and sanitation regulations.
Keeps equipment operating by following operating instructions; troubleshooting breakdowns; maintaining supplies; performing preventive maintenance; calling for repairs.
Handles the responsibility for efficient and profitable operation of the café in maximizing financial contributions.
Manages café staff and leads by example to ensure that daily tasks are completed and they promote the highest standards of customer service and satisfaction.
Updates job knowledge by participating in educational opportunities; reading coffee information, retail trade, and food service publications; maintaining personal networks.", ServSafe Certified  Required,
82672,Mgr Grants Department of Justice (DOJ),"Leads and executes effective grants management strategies and practices related to the Department of Justice Preventing School Violence: Stop School Violence Program grant.  Trains on and implement the anonymous reporting/ Help App across the district to students, parents and staff.",Master's Degree  Preferred," Must have prior experience with public school systems and federal programs, including experience with managing complex grant-funded projects with budget development and oversight responsibilities Required","Implementation of all required activities outlined in the DOJ Preventing School Violence grant, that must be completed within the grant period (ending September 2024).
Tracking & Monitoring of the required grant activities to include the budget, reporting, and documentation to the grantor.
Training- Trains all students, staff and parents on the anonymous reporting system/ HELP app.  What it is, how to use it, and resources provided.
Implementation- Implements a district-wide rollout of the anonymous reporting/ HELP app.
Collaboration- Collaborates and gains feedback with internal and external partners, such as students, teachers, parents and community partners.
Communication – Communicates the goal of the grant and reporting system, and within the training component to all internal and external stakeholders (schools, parents, central office, community partners/contractors and grantor) is able to explain and communicate effectively.
Utilization of a quality improvement approach to analyze data/reports, implement proper programming or professional development, and revise as needed.
Tasks and duties as assigned to support the DOJ  outcomes.",,"Working knowledge of Department of Justice Preventing School Violence: Stop School Violence Program and grant.
Working knowledge of Help Application for the Department of Justice Preventing School Violence: Stop School Violence Program.
Detail-oriented, with strong strategic planning and organizational skills.
Excellent interpersonal and communication skills, both written and verbal.
Ability to manage multiple projects, timelines, and teams effectively
Ability to adapt to a changing environment and remain flexible.
Excellent initiative and ability to work independently as well as part of a team.
Excellent computer skills. Experience with Microsoft Office products and other MNPS enterprise-level software."
86161,Exec Dir Digital Strategy and Implementation,"The Executive Director of Digital Strategy and Implementation will provide strategy and leadership surrounding the effective use of instructional and operational technology across MNPS. Oversee the development of technology integrated curriculum to increase use of technology in the schools and classrooms. Collaborate with district leadership and school level administration to develop technology integrated curriculum and select technology programs and/or learning tools and resources for the classroom teachers and district personnel.  The position will require close collaboration with Information Technology specifically in the areas of infrastructure, student information systems, other related software.",,,"Build strategies around teaching and learning that employ technology to deliver educational results in any environment regardless of physical location.
Identify, evaluate, and recommend emerging educational technology initiatives that support learning and teaching
Develop, monitor, and report on clear benchmarks that illustrate how technology investments are maximized.
Empower individuals with the toolsets, skillsets, and mindsets needed to leverage technology to advance collaboration, critical thinking, creativity, communication, and learning.
Spearhead technology initiatives that support teaching and learning.
Develops policies, procedures, and/or actions for the purpose of providing direction for meeting the district’s goals and objectives.
Facilitate all integration of technology related to the educational environment and/or curriculum
Support staff in the development and training to integrate technology into the academic programs that are offered
Oversee work between internal and external stakeholders and users to outline and support customer experience with technology and digital services that provide optimal interactions while aligning to the goals and strategies of the district.",,
87878,Teacher Grade 1,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
80247,Dir Audit,"Oversees and conducts all audits of school activity funds for each school and makes recommendations for improvement based on findings. Plans and organizes staff to conduct operational compliance audits. Trains school staff on bookkeeping procedures and correct use of activity funds. Organizes meetings principals and school bookkeepers regarding compliance issues and corrective actions.
",Bachelor's Degree  in Accounting or a related field Required,7-9 years  related experience  Required,"Oversees and conducts mid-year and year-end audits for schools.
Prepares, audits and reviews all financial reports for schools.
Manages staff; oversees tasks performed, assigns duties to ensure department meets deadlines.
Reviews combined audit reports with external auditors prior to submitting required annual reports to State Comptroller.
Consults electronically with school bookkeepers regarding school financial data entered into the system.
Monitors transactions to ensure compliance. Reviews monthly bank reconciliation reports and resolves any issues with schools.
Meets with principals and bookkeepers to review compliance issues and recommends corrective actions.
Keeps abreast of regulations and laws effecting field.",Certified Public Accountant (CPA)  Upon Hire Preferred,
88075,Teacher Health Physical Education ES,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
85496,Spec Learning Technology,"This individual provides training and support on instructional technology and content integration, the student technology standards, teacher technology standards and the MNPS Digital Scope and Sequence. The employee assists with identifying and acquiring hardware, software, and network products at the school level. This individual also assists in the implementation of the MNPS learning technology plan.",Master's Degree  Preferred,,"Planning and Facilitating Teaching and Learning
Trains and models use of technology in all curriculum areas
Implements best practices related to instructional technology use in the school program based on research, pilot programs, and state / national standards
Works with leadership team and district personnel (Learning Technology and Technology Information Services) in the selection of resources that are compatible with the school technology infrastructure
Adheres and communicates copyright laws, FERPA / COPA requirements as well as all other laws and guidelines pertaining to the distribution and ethical use of all resources and use of personally identify-able information (PII)
Participates in the ongoing evaluation of the effectiveness of the instructional technology program
Prepares and submits accurate reports as required
Develops and follows a plan for professional development and attends all district level training (4 days per year)"," Instructional Technology Training Certificate (ex. Microsoft Innovative Educator, Google for Education Certification, Apple Distinguished Educator)  Required","ability to demonstrate skills and knowledge of current technology integration in the classroom with district approved software.
Advanced in Microsoft 365 (Sway, PowerPoint, Excel, Word), Proficient in writing and debugging code and using a code-learning program (ex. Scratch), Proficient in monitoring students’ online activities and creating a safe and productive environment for online learning."
