Job Code,Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
85692,Spec Orientation and Mobility,"The O&M Specialist is responsible for teaching students who are blind/visually impaired and with multiple disabilities to travel as independently, safely, and efficiently as possible in any environment. The O&M Specialist teaches travel skills; plans and provides individualized O&M programs while positively motivating students to develop appropriate skills, attitudes, and knowledge; utilizes a variety of instructional techniques appropriate to students' abilities; and creates a safe and orderly learning environment.",Bachelor's Degree in Special Education - Orientation Mobility Required,1-3 years Experience working with youth (ages 3-21) with visual impairments in a school setting Preferred,"Perform specialized assessments that will provide information regarding current academic and functional levels (i.e. Functional Vision Assessment, Learning Media Assessment, various assessments in the Expanded Core Curriculum, O&M assessment, etc.).
Use information from assessments to recommend goals, accommodations, and classroom supports.
Provide orientation training to students in new buildings and for new schedules as needed.
Provide updated information as requested by the IEP team for annual reviews, re-evaluations, and progress reports.
Keep accurate records/data to document student progress on goals.
Prepare and use equipment such as tactile maps, models, optical devices, pre-canes, adaptive mobility devices (ADMs) GPS devices, and long canes.
Provide direct instruction for independent, safe, and efficient travel in the school environment, residential environments, business/commercial environments, and using public transportation as appropriate.", Orientation and Mobility license  Required,"Knowledge of and experience with orientation and mobility skills.
Understanding of low vision devices and assistive technology.
Perform specialized assessments that will provide information regarding current functional levels."
82857,Mgr Grants Special Population,Assists and manages the programs for all ESSA special populations.  Develops relationships with all stakeholders to ensure that compliance and programmatic requirements are met.,Bachelor's Degree  Required," Experience creating and presenting reports to stakeholders, and managing large projects Required","Organizes and facilitates the meetings that will determine the best placement for students in foster care, and serves as the district liaison with the Department of Human Services.
Serves as the district liaison for services to migrant students with local, state, and federal stakeholders.
Develops and maintains a positive rapport with all stakeholders to ensures state, local, and federal compliance requirements are met for services to special populations in ESSA.
Oversees the data collection at the local and state level for children in foster care by comparing the two data systems.
Consults with neglected and delinquent facilities to determine program needs and budget development.
Generates reports that are used to determine next steps for services to children in foster care and in neglected and delinquent facilities.
Works with district staff to develop transition plans for elementary and middle school students in neglected and delinquent facilities.
Assists Neglected and Delinquent Coordinator with all trainings required for special populations.",,"Excellent oral and written communication skills,
knowledge of federal programs,
ability to interact with a variety of stakeholders,
understanding of general compliance guidance surrounding federal grants,
and experience with budgets"
85378,Mgr IT Enterprise Applications II,Leads a team of technology professionals in implementing and supporting enterprise applications.  This includes the automation and management of MNPS business rules that facilitate the sharing and integration of information between applications.  Plans and directs the activities related to technology projects and ensures outcomes meet client expectations.  Plays a lead role in resolving issues within the software and communicating the resolutions within the organization.,"Master's Degree in Computer Science or related field, or in Education related field Preferred"," Minimum of 5 years’ experience of practical, service-oriented experience, preferably in an educational setting Preferred","Provides leadership and direction to Enterprise Product staff to ensure efficient use of resources in completing implementation and support related tasks.
Works in close collaboration with other TIS departments to ensure business rules are codified and automated as it relates to application security, systems integration, and the automation of critical business processes.
Works with other MNPS departments, as needed, to coordinate responses and resolutions to district-wide issues related to systems and data use.
Works in close collaboration with the Enterprise Architect to ensure enterprise applications are delivered in a manner that promotes efficiency in data management and ensures rapid responses to MNPS users.
Oversees the creation of Functional Requirements Documents that provide the technical and application specifications for new system features or system changes.   management
Works within the TIS Change Management processes to ensure that system additions and other changes are implemented in a controlled manner after proper testing and review.
Performs administrative duties related to the department including budgeting, time and attendance management, and performance reviews.", Teacher or Administrator certification desirable but not required  Preferred,"Strong knowledge of databases and information management;
Excellent analytical and problem-solving skills;
Strong communication and interpersonal skills with a proven ability to communicate effectively with senior leadership;
Ability to lead and influence others."
84102,Counselor ES,"he Elementary School Counselor is a certified professional responsible for delivering comprehensive counseling services to students in grades Pre-K through 5, as assigned by the principal. This role requires effective use of data from Infinite Campus, Data Warehouse, and other district SIS systems to support school improvement goals and address students' academic, career, and social-emotional development. The counselor must ensure the accuracy of student records, transcripts, schedules, and academic plans to support a successful transition to middle school. Strong communication and customer service skills, along with a high level of reliability and attention to detail, are essential.
",Master's Degree in counseling from an accredited institution Required,,"Delivers comprehensive, data-driven counseling programs, activities, and targeted interventions to support academic, career, and personal/social development; advocates and intervenes on behalf of at-risk students, addressing immediate needs impacting their success.
Actively supports district and school improvement goals focused on student growth, achievement, and college and career readiness, including promoting advanced academic participation and aligning programs with NOSCA competencies.
Regularly administers needs assessments, documents counseling activities and student interactions, analyzes data from Early Warning Indicators, and completes program accountability reports demonstrating the effectiveness of strategies and interventions.
Consults and collaborates with school specialists (psychologists, social workers, nurses), community-based resources, parents, teachers, administrators, and stakeholders to remove barriers to student success, address student needs, and close achievement gaps.
Facilitates smooth student transitions between educational tiers through collaboration with early learning centers and middle schools; provides orientation programs and clearly communicates testing results and implications to students and families.
Develops and leads staff development activities, provides educational programming for parents and community stakeholders, and actively participates in professional growth opportunities to stay current on best practices and district initiatives.
Ensures confidentiality and accuracy of student and staff information, adhering strictly to state laws and district policies; displays professional behavior, positive attitudes, punctuality, flexibility, and ethical standards, serving as a role model within the school community.
Performs duties related to emergency and crisis situations, serves as a member of the district crisis team when needed, and readily responds to directives, changes, and emerging needs with timeliness and positivity.","  This position requires Tennessee State Certification/License in school counseling
  Required",
84180,Mgr Office Central Services,"Specialized administrative work in directing the personnel, finance, budget, and business administration activities of Central Services.  The Office Manager is the official representative of the agency when interacting with MNPS in the areas of personnel, payroll, finance, budget, and other business-related areas and works under general supervision according to some procedures; decides how and when to complete tasks.  Establishes and maintains working relationships with others, organizes and prioritizes workflow for department's administrative staff, and acts as a liaison between management, staff, vendors, and clients to ensure proper lines of communication.",High School Diploma or GED Required, Should have experience in an office and team setting Required,"Directly supervises the administrative functions for a large department.  Manages staff schedules and monitors office operations.
Manages the clerical accounting and reporting functions of the office.  Assists in preparation of department budgets and expenses and the monitoring of expenditures according to budget allocations and appropriations.
Maintains and directs the completion of payroll for all employees.  Tracks overtime and comp time for the office.
Establishes and maintains the hiring and disciplining of employees as well as all HR-related functions of Central Services.  Sets up interviews of all new hires.
Schedules appointments and meetings for management and upper-level staff.
Oversees all IOD claims for the department.
Assists in the evaluation of policy and/or organization changes and new programs.
Participates in and coordinates all trainings and meetings.
Prepares reports, presentations, memos, proposals, and correspondence.
Plans, directs, and coordinates printing services; including layout, quick copy duplication, and professional quality printing.
Works with the Inventory Department to properly account for disposed items.","DL NUMBER - Driver License, Valid and in State","Should have basic computer knowledge and abilities, including Microsoft Word, Excel, etc. and an ability to learn new programs."
88136,Teacher Ex Ed Homebound,"Provide educational services to eligible exceptional education students at home, at a hospital or related location for students who are unable to attend the regular instructional program at the school of enrollment due to a medical or other approved condition.",Master's Degree from an accredited institution in a related field Preferred,"1-3 years implementing Interventions and Supports and Responsiveness to Instruction (RtI), Trauma Informed Care, Social-Emotional Needs, and/or Problem Solving Models at the classroom, school, or district level Preferred","Implement instructional activities provided by student’s teacher(s) of record including any modifications/accommodations designed in the student’s IEP.
Help provide a learning environment that meets the needs of students with diverse cultural and socio-economic backgrounds, learning styles, and special needs.
Provide appropriate feedback to the student’s teacher(s) regarding student progress during homebound.
Collaborate with students, parents, school staff, and other appropriate persons to assist in meeting student needs.
Serve as the liaison between the school and the home for the delivery of instructional services to special education homebound instruction.
Use appropriate materials, technology, and resources to help meet the learning needs of all students.
Provide instructional assistance to student that is clear, compelling, and engaging.
Deliver instructional strategies that contribute to a climate where student is actively engaged in meaningful learning experiences.
Pick up and deliver student assignments as required and maintain effective and efficient record keeping procedures.
Use appropriate materials, technology, and resources to help meet the learning needs of all students and facilitate student access to the use of technology as appropriate.", Must hold or be eligible for a certificate or license issued by the Tennessee Department of Education with a relevant Special Education endorsement or similar license and endorsement  Required,"Thorough knowledge of the principles, practices and procedures of special education and/or specialty area.
Thorough knowledge of the principles and methodology of effective teaching of students with disabilities.
Communication, and collaboration with Parents, educators, students,
Instructional strategies that connect the curriculum to the learner,
Student management,
Organization, data-based decision making, and problem solving,
Technology skills: Teams, Microsoft Office, Excel, SharePoint, iOS, and/or other district applications or equipment as needed."
83538,Coach Literacy Lead Secondary Interim,"In collaboration with the Secondary Literacy team, the Secondary Lead Literacy Coach will take initiative to lead curriculum implementation plans and to develop procedures and trainings that build capacity of teachers and school personnel in content-specific knowledge by facilitating and leading district initiatives. The Secondary Lead Literacy Coach will analyze literacy data to inform instructional practices, and support the goals and mission of the Curriculum and Instruction Department to increase student literacy achievement across disciplines. 75% of time will be spent in schools working directly with literacy teams providing implementation guidance and coaching. 25% of time will be working at the district level designing curricular supports and providing professional development for MNPS stakeholders.

This Position is interim and will either be transformed into a permanent position or become defunct.","Master's Degree from an accredited institution in education, reading, coaching, curriculum, or English related field Required"," Five years of successful middle or high school teaching experience Required
 Three years in an instructional coaching position (literacy, instructional, EL, etc.).  Required
 Experience in presenting and modeling exemplary teaching practices to adult learners in a variety of settings such as workshops, seminars or college courses Required
 Successful experience as a mentor and/or coach; Evidence of instructional leadership (e.g., team leader, resource teacher, department chair, dean, administrator, system-wide committees, etc.) Required","Curriculum Implementation and Support: Takes initiative to Lead; supports implementation of instructional materials and resources adopted by the district; assists in monitoring of benchmarks and/or common assessments aligned to standards and curricular units; develops procedures and training for teachers, coaches, administrators, and other instructional staff to implement curriculum, new content, or programs; aligns curriculum implementation plans with research on change management practices and other relevant English Language Arts/Literacy research; deepens coaches', teachers', and principals' content knowledge about evidence-based best practices and the ELA curricula; develop coaches', teachers' and principals' understanding of the structure and organization of the curricula; aligns the written, taught, and tested curricula; understands and articulates the distinction between the standards and the curricula; facilitates the deconstruction of standards and curricula to identify the essential knowledge and skills students need to achieve the standard; analyzes and facilitates the analysis of instructional materials to determine which parts of those materials support achievement of the standards.
Professional Development/Learning Facilitator: Provides leadership to develop a culture among literacy coaches and leaders that fosters professional learning communities; creates professional learning opportunities related student learning and teacher practice; promotes data driven instruction, collaborative instructional planning, differentiated instruction, and acquisition of instructional best practices; conducts school visits and participates in school walkthroughs, observations of collaborative team planning, and reflective practices; supports school-based professional development and assists in providing monitoring, support, and feedback to ensure successful implementation and delivery of curricula; observes the work of school-based Literacy Coaches or other instructional coaching staff to strengthen practice and to recommend improvements; supports coaches and teachers to develop their capacity to become learning facilitators; supports the implementation of new learning in individual schools, team settings or through school-wide initiatives; provides information to the Secondary Literacy Team about the learning needs of coaches, teachers, and administrators within the district; contributes to the development, implementation, and evaluation of schools’ literacy professional development plan.
Data Analysis: Collaborates with the Research and Evaluation Department and others in order to analyze quadrant- and district-wide student assessment and other relevant data to look for trends; obtains and uses student achievement data to examine and evaluate curriculum and instructional programing; develops and provides protocols and procedures for school-level and teacher-level data analysis and data chats; then formulates instructional strategies to meet student needs. Provides guidance and support to Literacy Coaches to use data protocols and procedures on a regular basis.
Mentor: Exhibits mentoring by developing the capacity of school-based coaches and teachers to implement the district literacy framework, instructional framework, and curricula; engaging new coaches and ELA Content Leads in orientation and on-boarding processes to help support the understanding of expectations, policies, and the context of their roles; ensuring new coaches and ELA Content Leads have the tools and equipment to serve as literacy supports in their schools.
Professionalism: Exhibits professionalism by regularly engaging in professional growth and efforts to strengthen his/her English Language Arts/Literacy content knowledge, skills, and strategies; planning, leading, participating in, and promoting district-level professional development offerings; attending and participating in all required meetings; maintaining a collection of professional materials related to effective coaching practices, literacy instruction, and current research; maintaining all required documentation of coaching and instructional support.
Communication:  Articulates district initiatives and instructional programming for all building and district administrators, teachers, and community stakeholders; articulates the vertical alignment of grades K-12 curriculum with administrators and department leaders; communicates and provides timely and constructive feedback to stakeholders.
Other Duties: Advises and consults with instructional materials adoption committees and reviews and provides feedback on supplemental resources; collaborates with the English Language Arts/Literacy Content Coaches and leaders; prioritizes work based on district needs as they arise."," Current Tennesse Teaching license with ELA, reading, literacy, curriculum, and/or instructional coaching endorsement  Required","Excellent writing and verbal communication skills
Presentation/facilitation skills
Strong interpersonal and leadership skills – able to interact positively with teachers, other staff, students, administrators, central office personnel, parents, and the general public."
80224,Asst Social and Emotional Learning,"Works with identified students in grades PreK-4 to develop and strengthen students' SEL competencies.  One-on-one interventions, small groups and classroom lessons aligned to the SEL competencies will be required. Analyzes and utilizes data from Chancery, SMS, Data Warehouse and other district SIS databases to meet school improvement goals and students' SEL needs.",Bachelor's Degree  Preferred, Experience in working with at risk students and families Required,"Develops, implements and evaluates programs targeted for at risk students and parents designed to develop and strengthen SEL competencies (self management, self awareness, responsible decision making, relationship skills, and social awareness).
Supports district and school improvement goals for student growth and achievement, and college and career readiness including the five characteristics of an elementary school graduate.
Develops a written, annual plan that is data driven and includes measurable goals which are appropriately scoped and sequenced based on the needs of the school and students.
Utilizes the Early Warning Indicators dashboard to determine targeted interventions for at-risk students.
Conducts and analyzes on-going formative and summative evaluation data of program effectiveness.
Collaborates with administrators, teachers, students, parents, and the community to remove barriers to student success and to close the achievement gap.
Tracks the progress of individual and subpopulations of students as they progress throughout the year and to the next grade level.","DL NUMBER - Driver License, Valid and in State",
82574,Accountant II,"The essential function of the position within the organization is to perform accounting functions, monitor related documentation, and provide assistance and accounting support to other accounting personnel as well as to other MNPS staff.   The position is responsible for analyzing accounts, preparing and reconciling financial information, occasionally assisting other MNPS departments with financial information, and helping to maintain financial records and reports in accordance with District and government requirements.","Bachelor's Degree in Accounting, Finance or related field Required", At least 2 years of relevant accounting experience Required,"Research and post accounting information appropriately.
Review and prepare billing statements and payments on behalf of MNPS.
Participate in the processing of account related information such as, payroll, accounts receivable, accounts payable and budget review.
Implements and approves account resolutions and related activities.
Verify, monitor, and reconcile accounts.  Collect, enter, update, and maintain account information.
Interact with staff, different departments, and/or external agencies to ensure accuracy of accounts, respond to inquiries, and provide accounting support.
Provide information and assistance to internal and external auditors.",,"Understanding of accounting practices.
Knowledge of an Oracle-based accounting system is preferred.
Adaptability and the ability to learn quickly, research and solve finance related problems.
Strong interpersonal skills including the ability to provide a high level of customer service and establish and maintain effective relationships within the organization.
Ability to prioritize and self-direct."
85420,Teacher Science Ecology,"The Teacher utilizes current strategies and theories to plan, organize and implement structured lessons to instruct K12 students.",Master's Degree from an accredited institution in a related field Preferred, Work experience gained through education and certification/license requirements Required,"Instruct students in an in-person classroom environment through lectures, discussions, visual aids, instructional strategies, and other effective teaching methods for student comprehension.
Prepares lessons and outlines to use in class that effectively cover the material.
Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.
Administers various types of assessments to monitor student’s comprehension of the material.
Assist students who need extra help with tutoring. Guides and counsels students with adjustment or academic problems or special academic interests.
Collaborates with other teachers and administrators to develop, evaluate, and revise academic programs following approved curricula.
Utilizes instructional technology, audio-visual aids, and other equipment and materials to enhance student learning.
Performs various administrative duties such as taking attendance, organizing the classroom, and responding to emails and phone calls from parents, school administrators, and staff in a timely manner.
Observe and evaluate students' performance, behavior, social development, and physical health.
Attends in-person faculty meetings, teacher training workshops and educational conferences to maintain and improve professional competence.
Maintain accurate, complete, and correct student records as required by laws, district policies, and administrative regulations.",Teaching Certification/License From Tennessee Department of Education with applicable endorsement Upon Hire Required,"Excellent writing and communication skills
Instructional strategies that connect the curriculum to the learner
Student Management
Demonstrated ability to work well with students, staff, and parents in a professional manner
Ability to be flexible and adapt as needed between in-person learning environments.
Knowledge of school safety & security procedures
Ability to work under pressure and meet deadlines"
86273,Asst Technology School Based,"Oversees day to day operations and support of 1:1 student computer initiative to support student learning. Provides onsite support on basic technology issues, provides accurate inventory and processes new and returned devices.",High School Diploma  Required, Experience with school technology Preferred,"Update and oversee school inventory to ensure all students have access to a device.
Collaborate with Field Support to ensure devices are ready for use, including cleaning and prepping returned student devices.
Provide basic technical assistance to students, including password resets.
Provide student devices inventory checks and reports to administration to ensure all devices are accounted for.
Assist families in reporting student devices lost or stolen and manage loaner devices.
Create tech support tickets for broken devices, network support or all other technical issues at the school.
Serve as technology team lead and school-based inventory lead; provide yearly inventory of all technology equipment in school.
Provide school wide support by answering phones, supervising students and providing reports.",,"Demonstrates the ability to work collaboratively with team, department and stakeholders throughout the district.
Excellent oral, written and presentation skills.
Demonstrates the ability to evaluate the effectiveness and impact of learning tools and digital content."
83257,Coord Social and Emotional Learning,"The Social Emotional Learning (SEL) Coordinator will work to support the process by which kids and adults develop fundamental emotional and social competencies and experiences.  The SEL Coordinator will work to build and deepen a positive school climate and culture by training on how to understanding and managing emotions, set and achieving positive goals, feeling and showing empathy for others, establishing and maintaining positive relationships, and making responsible decisions. Additionally, the SEL Coordinator will center their work on the five core competencies: Self- Awareness, Self-Management, Social Awareness, Relationships Skills, and Responsible Decision making. The SEL Coordinator will be responsible for the direct support to school staff on SEL programming including standards, staff development, curriculum, and assessment.","Master's Degree Counseling, psychology, education or related field Required", Experience in the area of Social Emotional Learning Preferred,"Consults with principals and staff concerning social emotional learning needs of students. Provides guidance in designing social emotional learning integration into the school.
Creates and works collaboratively with other departments for the integration of district wide social and emotional learning education aligned with the district’s strategic plan.
Designs and implements professional development to support the social emotional learning curriculum and instruction using best practices, including research on theory and content standards.
Assesses and verifies short-term and long-term goals of the SEL program. Uses data to make decisions and adjustments to the SEL program.
Promotes the integration of SEL with TN State Standards.
Coordinates and organizes district SEL Walkthroughs
Stay current on best practices in social and emotional learning, learning differences",,"Has knowledge of social and emotional learning research, evaluation, strategies, theories, techniques, and methods of instruction.
Understands, the five social and emotional learning core competencies; successful experience designing and delivering professional development;
Ability to engage a variety of stakeholders;
Ability to work independently and in collaboration with other teams;
Strong interpersonal skills and the ability to create trusting relationships;
Strong organizational skills with outstanding attention to detail;
Proficient in MS PowerPoint, Word, and Excel."
88138,Teacher Ex Ed SBI,,,,,,
