Job Title,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",job_title_original,new_job_title,major_role_group,minor_sub_group,grouping_justification
"Designer Instructional, Learning Technology","Serves as a model and coach that provides educational technology training and coordination for teachers, administrators, and school support staff to achieve instructional technology integration.  Designs and implements high quality, personalized, evidence based professional learning programs, curriculum, methods, and materials for various audiences and supports the development of school culture, professional learning, community partnerships, and instructional technology programs.",Master's Degree from an accredited institution in a related field  Preferred," Minimum 3 years successful classroom teaching experience, instructional technology degree or certification , demonstrated ability to integrate technology  Preferred","Conducts skill assessments and collects input to identify training or development needs, goals, gaps, and requirements to achieve specific outcomes related to instructional technology integration
Develops curricula supporting defined competency models or skill frameworks focused on using personalized and blended learning strategies to increase access to standards and curriculum
Consults with subject matter experts to define learning objectives and to design appropriate course content and professional learning curriculum.
Assist schools, departments, and MNPS Community in implementing instructional technology goals) through focused planning and modeling of technology and tech- centric pedagogy into teaching practices.
Participates in ongoing communication with school leadership, internal and external technology leaders to learn current trends and best practices to aid in the design of curricular materials and professional learning.
Presents professional learning on Tennessee Digital Readiness standards that supports students‚Äô acquisition of digital literacy, Computer Science and technology skills
Designs, and delivers professional learning to educators on how to integrate district provided technology tools (Schoology, Office 365, Minecraft, etc.) into instruction.
Participates in ongoing professional learning to deepen their learning in pedagogical technology integration, share findings with educators in PLCs and consultation sessions.","Teaching Certification/License with related endorsement issued by Tennessee Department of Education  Required
 Instructional Technology Training Certificate (ex. Microsoft Innovative Educator, Apple Distinguished Educator) or ability to demonstrate skills and knowledge of current technology integration in the classroom with district approved applications  Required","Written and oral communication.
Knowledge of instructional strategies.
Knowledge of technology hardware and software.
Ability to create and deliver technology training.
Advanced in Microsoft 365 (Sway, PowerPoint, Excel, Word), Proficient in creating a safe and productive environment face to face and online.","Designer Instructional, Learning Technology",Instructional Learning Technology Designer I,Designer,I,"The role focuses on designing instructional materials and leveraging learning technologies, aligning with the 'Designer' major role group. The education, work experience, licenses and Knowledge, Skills and Abilities attributes support this classification. No additional details suggest an entry-level classification within the 'I' sub-group."
Developer SQL Server,"Responsible for the analysis, design, code, testing, documentation and support of database driven solutions. This role requires the skills of an advanced SQL Server developer, and an individual who is self-motivated to learn new technologies.",Bachelor's Degree or equivalent work experience Required," 3-5 years in related IT discipline (SQL Server Development, Software Development, and Database Administration) Required","Create and maintain tables, stored procedures, views, indexes and entity relationship diagrams within the MS SQL Server development environment.
Advanced T-SQL query development.
Troubleshoot performance of database tasks, including tuning and optimization for MS SQL Server queries and SSIS packages.
Database schema design and implementation.
Review all technical deliverables with assigned technical subject matter experts and apply critical thinking. Critique architectures, technical diagrams, communicate observations, provide remedies to strengthen and improve solutions.
Strong debugging and code troubleshooting skills. Maintain technical skills, ability and passion to learn and implement new technologies.
Integrate data from various back-end databases and APIs
Provide support to internal client support team by identifying problems, researching answers, and guiding client support through corrective steps.", Microsoft certification   Preferred,"Advanced SQL Server development and data integration using advanced SSIS packages and T-SQL.
Parsing XML and JSON content stored in database tables.
Writing and modifying complex stored procedures, user defined functions, triggers, etc.
Excellent written and verbal communication.
Ability to develop and interpret SQL Server execution plans.
Ability to work in a rapidly changing environment.
Ability to multi-task and context-switch effectively between different activities and teams.
Ability to work independently with minimal guidance.
Preferred understanding of FERPA.",Developer SQL Server,SQL Server Developer I,Developer,I,"The position summary, essential functions and implied responsibilities  indicate a technical role focused on database development and management. Based on review of education, work experience, licenses and Knowledge, Skills and Abilities attributes, it is classified under the 'Developer' major role group. The minor sub-group 'I' is assigned due to the lack of specific information about experience or seniority, assuming an entry-level position."
Exec Dir HR Leadership Development,"Under the direction of the Executive Officer for Organizational Development, the primary responsibility of the Executive Director of Leadership Development is to implement a structured succession planning strategy to ensure the presence of a quality leader in every department and in every school.   The executive director oversees the design and implementation of curriculum activities to elevate leadership capacity in all leaders. ",Master's Degree  Required,10+ years Related experience  Required,"Organize and deliver curriculum content and activities to promote professional learning support in the five essential dimensions of effective leadership: School Culture through an Equity Lens; Efficiency and Productivity; Focused Instructional Leadership; Collective Accountability; and Coaching for High Performance. Align program content to district initiatives and state guidelines for administrators‚Äô evaluation.
Develop and implement professional development activities to build leadership capacity in every office and every school.
Organize Professional Development Teams for each emerging leader, including members of the team such as central services mentors, coaches, and supervisory staff. Prepare and modify agendas for each professional development team meeting.
Organize and implement activities, including agendas, venues, and guest speakers, to recruit, screen, and induct new candidates for the Principal Pipeline Initiative.
Support the coordination and implementation of the Administration and Supervision meetings for principals and central office leaders.
Conduct frequent research and update literature sources, audio-visual materials, and other resources pertinent to effective professional development activities.
Provide mentorship and access to expertise, resources, and best practices to turnaround school performance.
Coordinate with university partners to enhance and enrich curriculum offerings, support strategies, candidate assessments, etc.
Serve as a mentor and coach on professional development teams.
Collect and analyze data to measure the effectiveness of program activities, professional development sessions, and overall program implementation.
Establish frequent communication with district offices to ensure consistency of message, program alignment, and efficient and effective utilization of resources.
Collaborate with state officials to promote and monitor certification credits obtained through professional development activities.",Certified Administrative Professional (CAP)   Required,Strategic Planning | Leadership | Visionary Thinking,Exec Dir HR Leadership Development,Human Resources Leadership Development Executive Director,Executive Director,,"The position summary, essential functions and implied responsibilities align with high-level leadership responsibilities and functions with strategic oversight and development of human resources initiatives, which is consistent with the 'Executive Director' major role group given the implied scope and responsibility for resuorces is district-wide . No minor sub-group is assigned to reflect the top-tier leadership position within the organization."
Tutor,"Assists low-achieving students enrolled in schools receiving Federal Title I funds to improve academic achievement.  Meets with students on a regular basis, assesses needs of children in the program, and develops instruction to meet each child's need. ",Bachelor's Degree In Education or a related field Required,less than 1 year Related experience Required,"Assists low-achieving students in high-poverty schools receiving Federal Title I funds.
Regularly meets with students to review class material, discuss text, predict test questions, formulate ideas for papers, and develop on solutions to problems to assist low-achieving students improve academic achievement.
Collaborates with school staff and faculty to assess the needs of children and to determine how best to address those needs.
Develops lesson plans to meet the needs of individual students.
Reads aloud to students and assists students with reading; facilitates activities to improve fluency and comprehension.
Participates in educational team meetings, including development and review of progress.",,"Excellent communication skills both written and verbal, able to effectively organize and present data in a learning environment, able to consistently display professionalism and accountability, strong listening skills, excellent attention to detail, able to collaborate effectively with peers, teachers and students",Tutor,Tutor I,Tutor,I,"The position summary, essential functions and implied responsibilities align with the responsibilities of providing academic support, which fits within the 'Tutor' major role group. The lack of detailed information on education, work experience, and essential functions suggests an entry-level classification, placing it in the 'I' minor sub-group. This classification is consistent with similar roles focused on academic assistance and support."
Social Worker I LSSW,"The School Social Worker are trained mental health professionals that work collaboratively with school-level teams to address student mental health concerns, social-emotional, behavioral, and academic needs; offer classroom support and consultation, and basic subsistent needs. School Social Workers are an integral link between school, home, and community in helping student remove barriers and achieve academic success.",Master's Degree in Social Work Required," Must have a minimum of 3 years of pre-graduate or post-graduate experience working with children in a professional setting, school setting preferred, but not required; candidates who have completed a field practicum and demonstrated exceptional performance with MNPS will meet the standard for the minimum requirement","Provide counseling to individual students, student psychoeducational groups and, on occasion, families.
Provide case management/wrap-around services to students and families.
Facilitate small group and classroom lesson on a variety of topics.
Provide assessments and evaluations of students referred for services and offer professional recommendations to multidisciplinary teams (teachers, administrators, counselors nurses, special education, etc.)
Utilize the Student Management System (SMS) program to view, input and manage student data and interpret data to inform the planning and implementation of student interventions.
Provide professional development to students, teachers, parents and community members on a variety of topics, as needed.
Participate in any school-level meetings (IEP, S-Team, Threat Assessment, MTSS-B, etc.) as required to address student needs.
Schedule and make regular home visits as necessary in an effort to remove student barriers and address student and family needs.
Attend and participate in occasional after hours and weekend school-based and/or community events."," Must be licensed by the Tennessee Department of Education in School Social Work or be eligible for that license  Required
 Must hold and maintain a Certified Clinical 
Trauma Professional (CCTP) within 1 Year Required","Case management assessment and documentation abilities
Effective verbal and written communication
Ability to collaborate with internal and external partners and clients
Analytical abilities",Social Worker I LSSW,Trama Certified School Social Worker I,Social Worker,I,"Based on the position summary, essential functions and implied responsibilities, the role aligns with the 'Social Worker' major role group due to its professional nature and focus on specialized social work functions. The entry of ""Licensed by the Tennessee Department of Education in School Social Work "" in Licenses and Certifications confirm this grouping. The additional entry of ""Trauma Professional (CCTP) within 1 Year Required"" in Licenses and Certifications is a role differentiator. The 'I' sub-group indicates an entry-level position, as suggested by the absence of detailed experience or advanced responsibilities in the provided description. The classification is consistent with similar roles in the MNPS Roles and KSACs documents."
Social Worker School I,"The School Social Worker works collaboratively with local schools, parents, students, principals and others to provide services to student groups and families to assist in removing and improving barriers to academic success.",Master's Degree Applicant must possess a Master of Social Work Degree Required,1-3 years Experience working with children in a related field is Required,"Provide clinical counseling to individual students, student groups and when needed, families
Provide case management/wrap-around services to students and their families
Facilitate small group and classroom lesson on a variety of topics
Provides mental health and psychosocial assessments and evaluations of students referred and offer professional recommendations to multidisciplinary teams (schools, administrators, nurses, special education, etc.)
Utilize the Student Management System (SMS) programs to view and manage student data and to be able to interpret data to inform the planning of student interventions
Provide professional development on a variety of topics as needed
Participate in any school-level meetings (IEP, S-Team, Threat Assessment, etc.) as required to address student needs
Schedule and make regular home visits as necessary in an effort to remove student barriers and address student and family needs
Attend and participate in occasional after hours and weekend school-based and/or community events"," Must be Licensed by the Tennessee Department of Education in School Social Work or be eligible for that license  Required
LCSW- License Clinical Social Worker   Preferred",Industry-specific Knowledge | Technical Skills | Physical Stamina,Social Worker School I,School Social Worker I,Social Worker,I,"The position summary, essential functions and implied responsibilities align with the functional role of a 'Social Worker'due to its focus on providing specialized support services within a school setting. The entry of ""Licensed by the Tennessee Department of Education in School Social Work "" in Licenses and Certifications confirm this grouping. The 'I' sub-grouping indicates an entry-level position, as no advanced qualifications, extensive work experience, or supervisory responsibilities are specified in the provided description."
Dispatcher School Security,"Works to ensure students, staff, and visitors are provided security services in an efficient and timely manner. Clearly and professionally communicates with others regarding security-related issues.",High School Diploma or GED Required,"1-3 years Experience working in a call center, dispatching, and/or security Required","Provides radio and communication services for the coordination of Security personnel responding to vehicle accidents, school and/or bus incidents, vandalisms, break-ins and/or other emergencies.
Relays pertinent and timely information via two-way radio, computer-aided dispatch, cell phone, mobile display terminal, and/or email to Security personnel in a factual and concise manner.
Prepares accurate and detailed reports of all security-related communications and/or incidents handled.
Orders, issues, programs, repairs, and/or inventories two-way radios and other equipment for distribution to schools and/or departments.
Issues and/or deletes burglar alarm security codes to district facilities.  Maintains an up-to-date list of persons, companies, and/or agencies with security access to district buildings.
Clearly and professionally communicates with co-workers, school officials, Police, and other emergency responders concerning security-related matters and situations.
Reports deviations from predetermined standards to appropriate leadership.
Provides input to supervisor regarding proposed changes and improvements.","DL NUMBER - Driver License, Valid and in State  valid Tennessee driver license  Required",Must be able to read and communicate fluently in English and be proficient with Microsoft Office Suite software.,Dispatcher School Security,School Security Dispatcher I,Dispatcher,I,"The role involves coordinating and dispatching security personnel to ensure school safety. Based on the functional alignment with KSACs and the MNPS Roles document, this job fits within the Dispatcher major role group. The minor sub-group 'I' is assigned due to the absence of advanced responsibilities or supervisory duties, indicating an entry-level position."
Dispatcher Bus,"This position is responsible for assisting in a safe and efficient operation of the dispatch office. Under general supervision, this position is responsible for providing general direction to school bus drivers and monitors related to their assigned routes. These directions may include providing student information and contacting first responders in cases of emergencies. The dispatcher works with the Transportation Supervisor to ensure routes in their assigned area of responsibility are run efficiently and on time; responsible for maintaining phone as well as two-way radio logs and other records; performs a wide variety of specialized and analytical duties. Provide customer service support to drivers, monitors, supervisors and others. The successful candidate must be willing to work flexible hours including nights, weekends and split shifts. An individual in this position is expected to perform additional job-related responsibilities and duties throughout the facility as assigned and/or as needed.",High School Diploma or GED equivalent Required, Previous Dispatch or Customer Service experience Preferred,"Works with Transportation staff to orchestrate daily logistics and information flow for school bus transportation‚Äôs operational needs. Prioritizes tasks to ensure seamless transportation services to students.
Relays messages via two-way radio communications between transportation leadership and bus drivers regarding assignments, weather, traffic flow, etc.
Provides bus drivers with detailed routing directions and stops locations to ensure all stops are covered.
Masters an understanding of District‚Äôs street networks and roadway construction zones to enable optimal bus transportation services.
Inputs daily information into computer software database for driver‚Äôs attendance records; route coverage recap reports for reporting to leadership; and to record any mechanical malfunction of the fleet.
Clearly and professionally communicates with co-workers; school officials; emergency agencies; and the community about transportation-related items and situations.
Compiles and analyzes daily reports for trending process improvement purposes. Reports deviations from predetermined standards to appropriate leadership.
Provides input to supervisor regarding proposed changes and improvements.",,Basic routing skills and computer skills required.,Dispatcher Bus,Transportation Dispatcher I,Dispatcher,I,"The role involves coordinating and dispatching transportation services, which aligns with the Dispatcher major role group. The absence of advanced responsibilities or supervisory duties places it in the entry-level sub-group I."
Driver Truck,"Safely operates vehicles and assists other technicians with any assigned work.  Required to operate dump trucks, box trucks and flatbed trucks.  Maintains vehicles and equipment assigned for use on the jobs and is able to follow oral and written directions.  
",High School Diploma or GED Required, Experience driving and operating construction and/or maintenance trucks Preferred,"Operates dump trucks, box trucks, flatbed trucks and fork lifts.
Performs assigned work as required.
Organizes/prioritizes work to accomplish assigned work orders in a timely fashion.
Operates vehicles effectively and safely for each assigned job.
Maintains assigned vehicles in optimal operational condition.
Learns and applies MNPS‚Äô preferred methods and practices on a variety of tasks.
Establishes and maintains effective working relationships with others.
Follows oral and written directions and instructions.",CDL - Group B - Commercial Drivers License   Required,Defensive Driving Techniques | Spatial Awareness | Manual Dexterity,Driver Truck,Truck Driver I,Driver,I,"Theposition summary, essential functions and implied responsibilities support the 'Driver' major role group based on its functional alignment with transportation and logistics roles. The minor sub-group 'I' was assigned due to the lack of specific details indicating advanced responsibilities, certifications, or experience levels. The classification reflects the entry-level nature of the role, as no additional qualifications or specialized skills were provided in the job description."
Trainer Transportation Driver,"Plans, develops, and implements training programs for bus drivers to ensure safe driving practices which adhere to Federal, State and District transportation policies, rules, and regulations. This is a working position where driving a bus is required when staffing shortages occur.",High School Diploma Or Equivalent Required,"1-3 years Experience in pupil transportation activities, with demonstrated knowledge of state and federal pupil transportation rules and regulations  Required","Retrieves online applications for review. Contact prospective driver trainee to set up interview and participate in the interview process with the Transportation Service Support Manager.
Conducts classroom and behind-the-wheel training for new driver trainees in accordance with MNPS, State and Federal standards to prepare them for the CDL skills test and the work of an MNPS bus driver. Assists in developing and implementing of the Annual Driver Proficiency Test (ADPT). Keep training buses clean, fueled and maintained.
Develops, compiles, and maintains a variety of bus driver records, including license and certificate expirations, medical expirations, and required advanced training for the renewal of the bus driver certificate; monitors driver certification and renewal training programs.
Prepares Staff Development training materials and instructs Staff Development Coaches on how to teach safety classes to all Drivers.
Conducts retraining and maintain records of school bus drivers referred by the Transportation Safety Supervisor for additional instruction.
Serves on the Accident Review Board and maintains records pertaining to the Board‚Äôs action.
Drives a bus over a designated route in accordance with a specified time
schedule or on District routes as dictated by daily absenteeism or driver shortage.","  Must possess a valid State of TN Type B Commercial Driver‚Äôs License with evidence of good driving history, with passenger and school bus endorsement and a current CPR certification  Required","Effective written and verbal communication skills, ability to interact effectively with a diverse workforce.
Basic to intermediate knowledge of Office 365 suite and other software or application platforms, video equipment or other means that may be used in training adults.
Understanding of adult learning methods and ability to create measurably effective technical training programs.",Trainer Transportation Driver,Transportation Driver Trainer I,Trainer,I,"Based on the position summary, essential functions and implied responsibilities, this role aligns with training and development functions within the transportation domain. The 'Trainer' major role group is appropriate due to the focus on skill development and instruction. The 'I' sub-group is assigned as no additional details about advanced responsibilities or experience levels were provided."
Driver Bus,"Transports children safely to and from school, fosters and safe environment on bus; compiles and maintains accurate and current records to ensure efficient and safe operations for the Board of Education",High School Diploma graduate or equivalent Required, One (1) or more years of equivalent or directly related experience Required,"Transports children safely to and from school; fosters and maintains safe environment; drives route accurately and efficiently; observes and obeys all traffic rules and regulations; and follows and obeys all policies and procedures to ensure efficient transportation and delivery operations.  Follows assigned safety rules and inspects bus for safety items before each morning and afternoon run by following checklist.
Performs pre-trip and post-trip inspections, checking for students that might remain on board, all within accordance to Federal, State and Local guidelines.  Monitors and replaces parts when necessary and notes any damage of vehicle alterations to ensure safe vehicle operations for the School District.
Sweeps, cleans and washes vehicle; removes lost or leftover items from bus and returns to lost and found when applicable; and maintains clean and sanitary environment to ensure a healthy and safe atmosphere.
Maintains accurate and up-to-date records and route descriptions; inspects vehicle regularly and performs basic maintenance functions in order to maintain professional and safe transportation for the Board of Public Education.  Obeys Federal, State and Local rules and regulations pertaining to safe operation of school bus.
Maintains accurate and up-to-date records and route descriptions; inspects vehicle regularly and performs basic maintenance functions in order to maintain professional and safe transportation for the Board of Public Education.  Obeys Federal, State and Local rules and regulations pertaining to safe operation of school bus.
Monitors children and disciplines according to District rules and guidelines when required; meets with principals, parents and children to solve behavior problems as necessary and keeps disciplinary records current to ensure accurate records management for the Board of Public Education.
Provides principals with student disciplinary forms as needed.
Complies with Federal Department of Transportation guidelines and Board of Education policies for CDL (Commercial Driver License) holders.","DL NUMBER - Driver License, Valid and in State Valid TN Drivers‚Äô License with Passenger and School Bus endorsements  Required","Knowledge of basic mechanical maintenance for vehicles.
Must pass a yearly DOT physical and carry a DOT Medical Card.",Driver Bus,Bus Driver I,Driver,I,"The position summary, essential functions and implied responsibilities align with the 'Driver' major role group due to its primary function of operating vehicles to transport passengers safely. The entry of ""License with Passenger and School Bus endorsements "" in Licenses and Certifications further supports this major role grouping. The 'I' minor sub-group is assigned as there is no indication of advanced responsibilities, supervisory duties, or specialized certifications that would suggest a higher level. The classification is based on the functional alignment with the MNPS Roles and KSACs documents, emphasizing the core driving responsibilities."
Exec Ofcr Student Success and Opportunity,"Under the supervision of the Chief of Staff, the Executive Officer will oversee the strategy, design, and implementation of the school choice process along with all initiatives and policies related to academic and support needs within the district. The Executive Officer will promote practices and positive relationships with all communities, ensuring clarity around the school system's mission, goals, and support programs. This role will assist the Director of Schools with day-to-day challenges and serve as a liaison to external organizations, county and state governments, and other stakeholders regarding initiatives focused on student success and opportunity. The incumbent will also deliver presentations and communications on behalf of the Director of Schools, Board members, and other school officials.",Master's Degree from an accredited college or university Preferred,1-3 years Previous management experience  Required,"Assesses the academic and support needs of all student populations and evaluates school system policies, procedures, and practices affecting student groups. Provides recommendations to the Director of Schools to enhance student success and opportunity.
Establishes policies, procedures, and processes for the transparent, fair selection, and assignment of students to magnet and optional programs.
Aligns programs and initiatives that promote student success and opportunityóincluding school choiceówith the districtís strategic plan. Develops metrics for evaluating the effectiveness of these initiatives, implements an accountability system, collects data, monitors trends, and drives continuous programmatic improvements.
Collaborates with departments and school leaders to develop communication plans that highlight school choice options, including the annual school choice calendar and criteria for school selection.
Develops and delivers training for district employees on school choice options, provides specialized instruction on program procedures, and oversees the implementation and management of the districtís school choice software in collaboration with Technology Services.
Serves as a point of contact for inquiries from schools, administrators, and community members regarding programs, and directs questions to the appropriate personnel.
Acts as a liaison between the communityóincluding the business sectoróand the school system to expand outreach. Represents the Director of Schools on various committees, oversees activities designed to increase community engagement, and delivers public presentations to help families navigate and exercise their school choice options.
Provides leadership and daily supervision to assigned staff.",,"Must be highly fluent in English/Spanish (reading, speaking, writing, and listening).
Proficient in the use and application of cross-cultural communication skills.
Working knowledge of school system policies and administrative procedures.
Outstanding educational leadership skills, including the ability to analyze issues and solve problems under pressure.
Effective time management skills.
Ability to establish and maintain effective working relationships with school officials, employees, outside agencies and the general public.
Ability to use computer technology in an administrative and educational setting.",Exec Ofcr Student Success and Opportunity, Executive Officer of Student Success and Opportunity ,Executive Officer,,"The position summary, essential functions and implied responsibilities support a classification under the 'Executive Officer' major role group due to its implied high-level operational oversight responsibilities. T The statement ""Under the supervision of the Chief of Staff,"" implies that it is not the top level. Based on the hierarchical structure and the absence of detailed attributes, it is classified under the 'Executive Officer' or 'Deputy Chief' major role group with no minor sub-group, indicating the initial level within this classification. This grouping aligns with the convention of assigning 'Executive Officer' roles to top-tier leadership positions. "
Facilitator Priority School Improvement,"Assists schools in planning, implementing, monitoring and evaluating school improvement strategies by utilizing data and analyzing resources.  Provides ongoing support to help schools achieve their student performance improvement goals.",Master's Degree in education or related field of study Preferred, Experience in data analysis and/or school-level budgeting Preferred,"Advises school administration, teachers, parents, and students (a.k.a. School Improvement Team) in Priority Schools on the development and implementation of school improvement strategies and plans to improve student performance and overall school culture to ensure school‚Äôs compliance with the Local, State and Federal laws, regulations and guidelines.
Provides stakeholders with professional development relating to school improvement planning processes, including data analysis, budgeting, procurement, and evaluation, along with and local, federal and/or state regulations regarding the allocation and use of resources.
Supports the development, creation, analysis and evaluation of consolidated school budgets and expenditures to optimize the allocation of resources and to ensure compliance with Local, State and Federal laws, regulations and guidelines. Compares planned versus actual expenditures and advises school on future expenditures to optimize performance outcomes.
Assists school improvement teams in setting appropriate evaluation measures and targets for the school improvement plan by analyzing school level summative data.
Participates in departmental team meetings to establish best practices, communicate and discuss changing laws, regulations, policies, procedures, evidence-based strategies and tools to enhance school improvement.
Serves as a liaison between individual schools and various stakeholders within District leadership.
Analyzes progress reporting data compiled by schools that will be reported back to the federal and state governments.", Current Tennessee Teacher‚Äôs license  Required,Data analysis and program evaluation,Facilitator Priority School Improvement,Priority School Improvement Facilitator I,Facilitator,I,"The position summary, essential functions and implied responsibilities align with the 'Facilitator' major role group due to its focus on guiding and supporting school improvement initiatives. The minor sub-group 'I' was assigned based on the assumption that this is an entry-level position within the facilitator role, as no specific details about advanced responsibilities or hierarchical levels were provided. The classification aligns with the functional alignment of the role to facilitation tasks and improvement strategies."
Facilitator School Improvement Lead,"  Ensure the school meets federal and state requirements for compliance with Title I. Maintains required documentation for such compliance, expediting purchases and maintaining excellent recordkeeping.  Collaborates in the development and the implementation of the School Improvement Plan, the Parent Involvement Plan, and the Parent Compact. Ensures parent and community involvement, training, and communication.  Supports academic curriculum to enhance student instruction",Bachelor's Degree in Education or related field Required,1-3 years Experience with extensive involvement in the school improvement planning process Required,"Serves as a collaborative member of the leadership team to foster school improvement and facilitates the joint development of the Parent Compact and Parent Involvement Policy with school community members (including parents).
Ensures and communicates the requirements for Federal and State compliance at the local school level.
Maintains the ESEA digital binder with required Federal monitoring documentation.
Maintains and manages local school Federal account(s) to ensure accurate and efficient management of files and records through EBS reconciliation and budget alignment with the SIP.
Requisitions and receives on goods and services; completes all requirements for travel and registration; monitors the inventory of technology purchased through Federal funds; and documents and submits exception and stipend pay.
Administers, collects, and analyzes the following for school improvement planning: parent and community surveys, teacher professional development surveys, student surveys, and optional student data.
Assists in the development and the revisions of spending plans reflective of federal guidelines and research based strategies identified in the SIP.
Attends ESEA Training Sessions and other trainings necessary for successful job performance.","Teaching Certification/License issued by TDOE
  Required", Proficient in Microsoft‚Äôs Office Suite (Excel and Word).,Facilitator School Improvement Lead,School Improvement Lead Facilitator I,Facilitator,I,"The position summary, essential functions and implied responsibilities suggest a role focused on leading and facilitating school improvement initiatives. Based on the provided context and classification conventions, the role aligns with the 'Facilitator' major role group due to its emphasis on guiding and supporting improvement processes. The minor sub-group 'I' is assigned as there is no indication of higher levels of complexity or seniority in the provided description."
Facilitator Title I,"Assists schools in planning, implementing, monitoring and evaluating school improvement strategies by utilizing data and analyzing resources.  Provides ongoing support to help schools achieve their student performance improvement goals.",Bachelor's Degree in education or related field of study Required, Experience in data analysis and/or school-level budgeting Preferred,"Advises school administration, teachers, parents, and students (a.k.a. School Improvement Team) on their plan to improve student performance and overall school culture to ensure school‚Äôs compliance with the Local, State and Federal laws, regulations and guidelines.
Provides stakeholders with professional development relating to school improvement planning processes, including data analysis, budgeting, procurement, and evaluation, along with and local, federal and/or state regulations regarding the allocation and use of resources.
Supports the development, creation, analysis and evaluation of consolidated school budgets and expenditures to optimize the allocation of resources and to ensure compliance with Local, State and Federal laws, regulations and guidelines. Compares planned versus actual expenditures and advises school on future expenditures to optimize performance outcomes.
Assists school improvement teams in setting appropriate evaluation measures and targets for the school improvement plan by analyzing school level summative data.
Participates on the School Improvement Strategy Development Team to establish best practices, communicates and discusses changing laws, regulations, policies, procedures, evidence-based strategies and tools to enhance school improvement.
Serves as a liaison between individual schools and various stakeholders within District leadership.
Analyzes progress reporting data compiled by schools that will be reported back to the federal and state governments.", Current Tennessee Teacher‚Äôs license  Required,Facilitation Techniques | Communication | Adaptability,Facilitator Title I,Title I Program Facilitator I,Facilitator,I,"The position summary, essential functions and implied responsibilities suggest a role focused on facilitating Title I programs, which aligns with the functional responsibilities of a Facilitator. Based on the lack of additional details in the provided description, the role has been classified at the entry-level (I) within the Facilitator group. This classification assumes basic facilitation responsibilities and aligns with similar roles in the MNPS KSACs and Roles documents."
Foreman Shop Assistant,"The essential function of the position within the organization is to assist the Shop Foreman and perform supervisory and journeyman works in the maintenance and repair of school system equipment.  The position is responsible for communicating with shop employees to diagnose and repair routine maintenance problems; inspect, diagnose, test and supervise work to ensure accuracy and compliance.  The position works under general supervision independently developing work methods and sequences."," One year of college or vocational school education in Mechanics, Electronics, or related trade Required",1-3 years Related experience Required,"Assign and oversee work brought to shop for repair or maintenance.  Identify, diagnose, and repair malfunctions in equipment that is not clearly evident.
Maintain records of repair work performed, and scheduled maintenance.
Supervise and perform evaluations of shop employees.  Report personnel and safety incidents to Shop Foreman.
Perform major work requiring a higher degree of experience and skill than subordinates.
Assist in maintaining inventory of parts, tools, and equipment necessary to operate shop.  Order necessary items through School District procedures.  Maintain accurate records of inventory and purchase orders.
Inspect daily maintenance activities to ensure compliance with OSHA.
Perform the duties of the Shop Foreman in his/her absence.
Operate School District equipment as necessary.", Journeyman license in applicable trade  Required,Construction Techniques | Leadership | Spatial Awareness,Foreman Shop Assistant,Shop Assistant Foreman I,Foreman,I,"The position summary, essential functions and implied responsibilities align with the 'Foreman' major role group due to its supportive nature in assisting shop operations. The entry ""assist the Shop Foreman and perform supervisory and journeyman work"" suggests it is a role the should have ""Assistant"" in the job title. The minor sub-group 'I' is assigned as there is no indication of advanced responsibilities or supervisory duties. The classification is based on the assumption that the role involves entry-level assistance in shop tasks, referencing similar roles in the MNPS Roles and KSACs documents."
Foreman Shop,The essential function of the position within the organization is to supervise the maintenance and repair of School District vehicles in assigned area.,Associate's Degree or the equivalent of two years of college or vocational school education in vehicle repair and maintenance or other related field Required,4-6 years Related experience Required,"Supervises the performance of all mechanics assigned to area of responsibility, ensuring that mechanics follow School District policies.
Performs and assigns maintenance, including cleaning, routine oil changes, tire rotation, fluid changes, battery inspections, electrical system testing, and brake inspections and replacement, on vehicles to ensure that the fleet is operating properly and within safety guidelines.
Maintains the preventative maintenance schedule for every vehicle in the fleet and reports information on maintenance log sheets.
Maintains service repair orders on each vehicle.
Diagnoses vehicle problems and assigns repairs, on-site and off-site, to qualified mechanics.
Attends professional training courses to maintain knowledge of shop equipment, such as, but not limited to, brake lathe equipment, hoists, air conditioning recovery and charging equipment, electrical test equipment, and diagnostic equipment.
Maintains clean, safe working facility.
Maintains inventory of vehicle parts and equipment; orders parts from vendors; maintains records of vehicle, service, and parts warranties.
Monitors and critiques all mechanics‚Äô paperwork for accuracy, thoroughness, and productivity.","DL NUMBER - Driver License, Valid and in State of a category specific to types of vehicles to be operated and maintained  Required",Construction Techniques | Leadership | Spatial Awareness,Foreman Shop,Shop Foreman I,Foreman,I,"The position summary, essential functions and implied responsibilities suggest a supervisory role overseeing shop operations. Based on the provided job details and attributes that focus on ""maintenance"" and ""shop"", it aligns with the 'Foreman' major role group. The 'I' sub-group is assigned as a default entry-level classification due to the lack of specific information about the complexity or seniority of the role."
