Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities"
Dir Civil Rights & Special Populations,"Ensures civil rights compliance by providing consult on civil rights violations identification, reporting, investigation, and resolution. Develops and coordinates operations and services for Special Populations (504, Foster Care, Homebound, and Treatment Facilities) students. Developes civil rights and special populations procedures and best practices that meet federal, state, and district compliance requirements. Facilitates ongoing staff development and trainings for civil rights and special populations topics. Supervises certificated and support staff.  Works closely with the department's leadership team to maximize the efficiency and effectiveness of service delivery to school administrators, staff, and students.","Master's Degree in Education, Social Work, Psychology, Public Administration or related field or Juris Doctorate Required",1-3 years experience with operations and services for Special Populations and/or Civil Rights Required,"Creates policy and procedure to ensure educational stability for  civil rights violation complaints and respondents and Special Populations students. Policies and procedures include but are not limited to assessment, evaluation, identification, attendance coding, enrollment, reporting, investigations, and supportive measures. Communicates policy and procedure to internal and external stakeholders.
Consult for school administration and Executive Directors on civil rights violations – identification, reporting, investigation, and resolution. Oversees civil rights violations investigations to ensure legal compliance.
Participates in dispute resolution efforts for 504, Title VI, and Title IX from the Office of Civil Rights and parents including written responses, mediation, and formal dispute resolution hearings.
Partners and collaborates with MNPS departments (Exceptional Education, School Counseling, Vision and Hearing, Civil Rights) to ensure fidelity within MNPS policies and procedures and resolve conflict. Collaborates with outside stakeholders at the local, state, and federal level.
Collects, prepares, and maintains data for Civil Rights and Special Populations to ensure legal reporting requirements are met.
Oversees Public Chapter 426 functions, services, and educational reimbursement.
Plans and coordinates continuing mandatory and optional professional development for MNPS employees.
Helps develop, prepare, and review budgets.",,"Ability to interact easily with a wide variety of staff, students, and stakeholders.
Ability to organize data concisely and maintain accurate records.
Demonstrated skill in writing reports, procedures, guidance, etc.
Ability to interpret federal and state laws, regulatory guidance, and policies.
Demonstrated ability to lead a team that works under tight timelines."
Asst Nutrition Services Roving,"Under the supervision of manager, assists school nutrition staff to assure meals are prepared and served in a clean environment while following all health and sanitation rules and regulations.",High School Diploma or GED Required,1-3 years Work experience in food preparation Preferred,"Performs various semi-skilled kitchen tasks to prepare food for serving.  Tasks include, but not limited to, slicing and chopping vegetables, cooking vegetables and meat, mixing pastries, measuring ingredients to ensure food is prepared in established quantities according to daily menu guidelines.
Cleans and sanitizes kitchen equipment, counters and tables, mops and sweeps floors on a daily basis in compliance with state health regulations.
Prepares serving lines by filling steam table wells and arranging appropriate number of pans in correct sequence.
Serves students and teachers appropriate quantities in a friendly manner as they come through serving line.
Keeps serving line clean and replenished.
Answers inquiries customers may have regarding content or nutritional value of food or refers to appropriate personnel if needed.
Receives supply orders and verifies quantity ordered/shipped against invoices.
Stores food and supplies upon receipt, updates inventory records to ensure necessary supplies are available on a continual basis.",,"Must be able to read, write and speak English."
Coord Ex Ed,"Supervises Exceptional Education Coaches. Collaborates with stakeholders to improve academic achievement of students with disabilities. Oversees staff in the areas of compliance, behavior, and related services",Master's Degree in education or a related field Required," Related experience as a teacher, including three (3) years administrative experience Required","Works directly with assigned schools and administrators as a support and resource for all Exceptional Education Services, including assisting schools with inclusive practices.
Case manage with assigned coaches.
Collaborates with outside agencies, community groups and families of students with disabilities to maximize program effectiveness and ensure the students’ needs are being addressed.
Provides guidance to schools in the areas of compliance, instructional strategies and behavioral modification/analysis.
Develops professional learning opportunities in the areas of special education.
Participates in crafting District responses in due process actions\State complaints.
Prepares budgetary projections and required State reports.
Conducts State-mandated evaluations on coaches in accordance with District and State policies."," current Tennessee Teachers License  Required
 Administration Certification Endorsement  Required",
Application Systems Analyst – Cadence/Prelude,"Supports the design and building of application that allows patients to register and self-check in clinic visits within EPIC.  Builds workflows, configures systems, and supports overall operation of the application. Delivers installation and upgrades of the application; coordinates end-user support activities. Responds to user issues and escalates complex problems as they arise. Works flexible schedule to deliver on-call support for application. Reports to Applications Manager and/or Lead Analyst. ",,1-3 years Experience within an implementation and support role.,"Designs and builds assigned application; partners with management and operations to enhance application design and capabilities; evaluates content and workflows.
Installs templates, data fields, and identifies methods to enhance system functionality while adhering to build standards and synchronization.
Initiates projects by gathering and analyzing user requirements, test planning and develops system to meet end user needs; implements plan to stay on track with project deadlines.
Provides go-live, post-live, and on-call support to users for existing and application upgrade; represents application in workgroups; creates documentation for all system updates and modifications.
Pulls and documents support tickets, logs results, logs risks, and decision trackers; oversees decision-making for application issues and escalates complex problems to appropriate parties and service team.
Conducts assessment to recommend areas for process improvement; contributes to the development of new materials; coordinates testing and remains in compliance with system modifications and new version upgrades.
Improves delivery and healthcare organization job knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; participating in professional societies.",,"Excellent communication skills both written and verbal.
Strong knowledge of systems hardware, software, and the regulations structure and techniques.
Good customer service orientation and ability to follow through issues to resolution
Detail oriented, strong analytical, organizational, and problem solving skills"
Applications Systems Analyst - Cadence/Prelude IV,"Performs Level IV tier design and building of application that allows patients to register and self-check in clinic visits within EPIC.  Builds workflows, configures systems, and supports overall operation of the application. Delivers installation and upgrades of the application; coordinates end-user support activities. Responds to user issues and escalates complex problems as they arise. Works flexible schedule to deliver on-call support for application. Reports to Applications Manager and/or Lead Analyst. ",,7-9 years Experience in an epic analysis and building role at a full Level III capacity. Current Epic certification in one or more Epic front office business modules is required: Cadence or Prelude,"Designs and builds assigned application; partners with management and operations to enhance application design and capabilities; evaluates content and workflows.
Installs templates, data fields, and identifies methods to enhance system functionality while adhering to build standards and synchronization.
Initiates projects by gathering and analyzing user requirements, test planning and develops system to meet end user needs; implements plan to stay on track with project deadlines.
Provides go-live, post-live, and on-call support to users for existing and application upgrade; represents application in workgroups; creates documentation for all system updates and modifications.
Pulls and documents support tickets, logs results, logs risks, and decision trackers; oversees decision-making for application issues and escalates complex problems to appropriate parties and service team.
Conducts assessment to recommend areas for process improvement; contributes to the development of new materials; coordinates testing and remains in compliance with system modifications and new version upgrades.
Works independently on problems of moderate scope where analysis may involves multiple factors.
Analyzes reasonably complex issues and develops/implements solutions with general guidance.
Participates as needed to install upgrades, patches and fixes; manages issues/risks and escalate as required.
Assists in the design, delivery, and maintenance of related training programs and materials.
Seeks workflow guidance and technical information from managers and teammates as needed.
Tracks effort hours by customer and task using a Time Management software system.
Educates customers informally to ensure efficient and effective use of Epic system as designed.",,"Knowledge of EPIC system capabilities to address process requirements.
Knowledge of hospital and clinical workflows.
Excellent communication skills both written and verbal.
Strong knowledge of systems hardware, software, and the regulations structure and techniques.
Good customer service orientation and ability to follow through issues to resolution
Detail oriented, strong analytical, organizational, and problem solving skills"
Preventative Maintenance Technician,"Preventative Maintenance Technicians are responsible for sawmill machine maintenance, pneumatic, and hydraulic maintenance and oiling.",,,"? Maintaining the correct oil levels in all plant hydraulic units
? Sustaining lubricant supply in the mill
? Cleaning and maintaining compressor room
? Assisting Millwrights on equipment repairs
? Follow directions and effectively communicate with all levels of plant personnel",,
Polysomnography Technician,"Provides comprehensive evaluation and treatment of sleep disorders and collects, analyzes, and integrates patient information in order to identify and meet the patient-specific needs.  Aids in determining final testing parameters/procedures in conjunction with the ordering physician or medical director and department protocols.",,1-3 years 2+ years of clinical experience,"Performs various sleep related neurophysiological testing.
Prepares patients for testing, perform tests, and prepares test results for physician interpretation.
Prepares, calibrates, repairs and maintains equipment required for testing.
Attends record review sessions with polysomnographers and other technologists
Annotates recordings thoroughly, marking all movements, changes in controls, activation, any unusual events and changes.
Allocates file number to recording, records patient name in log book and transfers data to network.
Documents and scoring testing accurately in the medical record to comply with the policy and procedures of the department, organization and all other regulatory agency requirements.",RPSGT - Registered Polysomnographer Technologist,"Ability to train other technicians.
Ability to maintain effective interpersonal relationships.
Knowledge of polysomnography medical terminology.
Knowledge of patient rights and laws relative to those rights, such as HIPAA."
"Analyst, Private Placements","The Analyst, Private Placements supports financial advisory, debt underwriting, and the origination and execution of debt private placements.  Provides analytical, financial modeling, structuring, research, and transaction support to senior investment professionals. Works within an investment team and discusses the private placement market with clients. ",,"4-6 years Experience analyzing and interpreting data related to direct private equity investment opportunities.
4-6 years Experience in an investment banking environment.
1-3 years Experience in investor relations and private fund placement.","Drafts presentation materials, pricings, and market updates and offers materials such as private placement memorandums and investor presentations.
Evaluates relative value and establishes asset allocation strategies across private placement portfolios.
Supports a wide range of assets such as fixed income, equity, derivatives, and alternative investments.
Generates reports for management and tracks private placement portfolio performance.
Works on a variety of live transactions and client-facing business initiatives related to private placements.
Prepares valuations, writes memorandums for private placements, and participates in due diligence and drafting sessions.",,
Accreditation Specialist,"Provides administrative assistance to the Provost, and general office coordination and support to the Office of Institutional Effectiveness and Academic Quality. Facilitates  preparation and submission of all accreditation and other related documents including but not limited to the Commission for education programs, as well as assisting in drafting policies. Works  with collaborative cross-functional project teams to produce high-quality accreditation deliverables and events.  Interfaces with school  leadership on a regular basis regarding issues raised in the Accreditation Program",,4-6 years Experience working in accreditation or closely related role in higher education,"Provides technical assistance regarding accreditation standards, processes, and procedures to programs seeking candidacy or accredited status.
Delivers consultation to programs on curriculum design related to social work competencies and assessment of student learning outcomes.
Collaborates with College of Accreditation (COA) on reviews of programs in commission meetings and other commissioner activities related to accreditation.
Participates in training programs (online and in person) and related program activities.
Understands and applies accreditation policies and procedures as COA makes program decisions.
Maintains and applies knowledge of current and evolving issues, trends, and information related to education and accreditation.
Manages the distribution of program accreditation materials for commissioners, programs, and site visitors.
Reviews program materials for completeness, accuracy, and compliance with accreditation standards during pre-candidacy, candidacy, initial accreditation, and reaffirmation.
Communicates decisions to programs accurately and in a timely manner.
Works with basic computer applications, all components of Office 365, and database and Web applications for workflow management, particularly in the area of an online accreditation management system.
Provides individual and group consultations to program representatives at professional conferences.
Interfaces with the public about specialized areas as a career, educational and licensure requirements, and accreditation.",Certification and Accreditation Professional (CAP),"Ability to manage multiple tasks, projects and details simultaneously.
Ability to work independently and accomplish assignments on deadline.
Excellent analytical skills and comfort with decision making.
Ability to prepare accurate correspondence with attention to detail (e.g., free of errors, customized to the person/situation, catches errors or anomalies generated by database)."
Driver Multi-Function,The position is responsible for operating a Multi-Function Vehicle (MFV) that is designed to transport 15 or less passengers on a regular daily schedule according to the District's assigned routes. Performs preventative maintenance and are responsible for cleanliness of vehicles.,High School Diploma or GED equivalent Required,,"Supports district by providing safe transportation for passengers with special needs in a vehicle.
Follow all traffic laws, safety regulations, and district policies.
Maintain discipline and order among passengers, ensuring a safe and respectful environment.
Communicate effectively with all stakeholders.","DL NUMBER - Driver License, Valid and in State Valid TN Driver’s license Upon Hire Required",
Water Utilities Technician,"Upon successful completion of initial probationary period, the Water Utilities Entry Technician will be reclassified to a Water Utilities Technician I.",,,"Regular and timely attendance are required for this position.
Interacts professionally and respectfully with the public, coworkers and others in the course of daily work.
Arrives at work on time prepared to work the assigned schedule.
Performs maintenance and repairs on water/sewer mains, fire hydrants, water services and water meters.
Moves various equipment and tools to and from work trucks, loading and unloading.
Performs landscaping work following repairs to the water utilities system.
Operates and performs service and minor maintenance on equipment.",,"Availability to operate in the Standby On-Call Rotation as scheduled.
Skills, Knowledge and Abilities
Ability to read and follow safety rules, City rules, codes, and instruction on proper use of safety equipment.
Ability to learn to repair water and wastewater infrastructure such as water and sewer mains, fire hydrants, water meters, and service lines.
Ability to follow oral and written instructions to complete an assigned job.
Ability to work and communicate with the public and co-workers.
Ability to work in a team environment, contribute as a team member and treat co-workers and customers with respect.
Ability to learn to safely operate city vehicles such as service trucks, flatbed trucks, and other automatic transmission vehicles.
Ability to perform strenuous physical labor, including standing, bending, stooping, lifting, reaching, twisting, standing, and walking for extended periods of time in adverse conditions, including extreme heat, cold, moisture, dust, and fumes, at various heights, and in confined spaces.
Ability to learn and complete essential functions of the position and successfully complete probationary period."
Assistant Director - Financial Aid,"Provides oversight of the day-to-day running of the Office of Financial Aid. Assists Director of Financial Aid in the planning and implementation of policies and procedures to manage business operations. Participates in budget preparation, sets cost estimates, and submits expenditure justifications. Assists with compliance standards for federal and state financial aid programs. Prepares and submits data reports related to financial aid. ",,"7-9 years Progressive experience in a financial aid role; administering aid packages within a higher ed environment with 3+ yrs in management. Experience in an accounting, finance, or closely related role within a matrixed environment.","Delivers guidance to students on financial aid matters, scholarships, grants, including explanation of application procedures, policies, and regulations.
Oversees the daily processing of student verifications of the Free Application of Federal Student Aid (FAFSA).
Reviews forms to ensure proper completion, accuracy, and verifies information reported on student financial aid applications, reviews transcripts and student folders.
Assists with high level decision making regarding student awards, verification processes, and the development of complex policies and procedures.
Uses institution database systems (i.e., SAP, Ellucian, etc.) to generate reward letters, notifications, and materials.
Works closely with Admissions Office on student recruitment as it relates to financial aid; attends recruiting events and information sessions; and participates in new student orientation.
Clarifies and applies state, federal, and institutional regulations that govern financial aid; delivers knowledgeable insight on regulations related to financial aid.
Liaises with Institutional Research Department to produce statistical and data reports regarding student academic progress, academic progress, state related programs, and other reporting required.
Represents the institution at community and professional organizations; serves on committees, conferences, and campus related activities.",,"Federal Aid Policy Application High
Student Eligibility Review High
FAFSA Oversight Medium
Scholarship Program Coordination Medium"
Spec Data Quality and Integrity,"Provides supplemental on-site implementation, troubleshooting, assistance, training, and leadership on issues regarding information managed at the school-level for internal and external data requirements.
",High School Diploma or GED Required,"1-3 years database entry, retrieval, and reporting including customer service support experience Required","Evaluates school compliance with established data quality and procedural standards.  Reports non-compliance issues to school administration with a suggested plan to correct.
Provides supplemental on-site implementation, troubleshooting, assistance, training, and leadership on issues regarding information managed at the school-level for internal and external data requirements.
Assists school staff in the resolution of data errors reported by the Tennessee Education Information System, the MNPS data warehouse and other regulatory agencies.
Provides input on changes in staff assignments and responsibilities that improve data quality and school compliance with internal and external data requirements.
Works to resolve any data issues with team.
Interprets data for school leadership and advises on types of data relevant to the decision-making process
Keeps up-to-date with student management software system changes, state reporting changes, and District policy changes.
Reviews and researches Average Daily Membership to ensure state funding is at a maximum. High School or GED.",,"Proficient in Microsoft Office Suite.
Must pass a computer proficiency test with a minimum score of 90%."
Associate Director of Electrical Engineering,This position will be to directly assist the Director of Electrical Engineer with job growth potential to be elevated to the Director of Electrical Engineering in the very near future.,,,"Leading the design effort on large and small projects
Managing design schedules and design team members
Being able to interact and work directly with Architects and Owners
Evaluation, selection, and application of engineering techniques, procedures, and criteria to assigned projects
Mentoring senior and junior-level staff
Leading the preparation of various written reports and meeting minutes
Producing and leading the creation of design documents (drawings and specifications)
Willingness to travel for projects nationally and internationally
Providing Quality Control (QC) to assure adherence to applicable codes, company standards, and project requirements
Serving as a technical consultant concerning planning, design, and construction for different categories of facilities
Providing assistance in the determination of departmental resources and long-term planning
Delegation of tasks and responsibilities
Serving as the individual in responsible charge of projects (DOR)",,
Pest Control Technician,"Provides Pest Control Services by checking service contract schedule; arranging and confirming daily appointments; inspecting conditions; identifying new infestations and determining causes; analyzing treatment, prevention, and exclusion options; determining appropriate bait.",,"less than 1 year on-the-job training or completion of formal training program.
1-3 years experience as a pest control technician","Plans pest control service calls by checking service contract schedule; organizing driving route; arranging and confirming daily appointments.
Evaluates pest control situation by inspecting conditions; identifying new infestations and determining causes; analyzing treatment, prevention, and exclusion options.
Places pest control materials by determining appropriate bait, including gels, dust, granules, and liquids; applying pest control materials to interior and exterior.
Presents new pest control service proposals by explaining provisions and options.
Collects revenue by obtaining service verifications.
Completes pest control records by entering required information.
Maintains pest control quality results by adhering to company standards.
Maintains safe work habits by following company standards.
Resolves customer dissatisfactions by investigating complaints; identifying solutions.
Improves pest control job knowledge by attending training sessions; reading technical publications.
Contributes to pest control and organization success by welcoming related, different, and new requests; helping others accomplish job results.",Licensed Pest Control Technician,"Knowledge of chemical solutions and toxic gasses usage.
Ability to use bookkeeping and software tools.
Ability to adhere to safety procedures and protocols.
Excellent communication skills both written and verbal."
