Job Description Name,Position Summary,Education,Work Experience,Essential Functions,Licenses and Certifications,"Knowledge, Skills and Abilities",Original Job Title,New Job Title,Major Role Group,Minor Sub-Group,Borderline Level,Justification
Executive Director of College and Career Readiness,"The job leads the district's efforts to prepare all students for postsecondary success by developing, scaling, and sustaining high-quality programs, experiences, and systems. This role oversees Advanced Academics, Career & Technical Education, and the Academies of Nashville, ensuring every student has equitable access to rigorous coursework, career-aligned experiences, and personalized transition supports. The Executive Director provides strategic vision and operational oversight, collaborating with district leaders, school-based staff, and external partners to align programming with MNPS's Portrait of a Graduate and overall district goals.",,,"Strategic Vision & Program Leadership: Establish and execute a unifying vision for college and career readiness aligned with district strategic priorities and department goals.
K–12 System Design & Oversight: Lead the development and oversight of vertically aligned systems that span elementary through high school, ensuring coherent pathways for postsecondary readiness.
Equity-Focused Systems Development: Identify barriers to access and design scalable systems that close opportunity gaps in EPSOs, advanced coursework, and career pathways.
Performance & Practice Standards: Define expectations for CCR program quality and ensure consistent implementation across schools through coaching, tools, and oversight.
Capacity Building: Support the professional growth of directors, coordinators, and school leaders to implement readiness initiatives with fidelity and impact.
Integrated Transition Planning: Partner with advising and instructional teams to embed postsecondary readiness into school schedules, student plans, and transition structures.
Data-Driven Decision-Making: Use districtwide data to identify trends, inform strategies, and drive measurable improvements in participation and success in CCR programming.
Cross-Functional Collaboration: Partner with Teaching & Learning, Counseling, and other departments to embed readiness goals into academic and advising systems.
External Partnership Management: Serve as a key liaison with postsecondary institutions, employers, nonprofit partners, and national networks supporting CCR strategy.
Continuous Improvement & Innovation: Monitor program impact, adjust strategy based on data, and lead innovation efforts to ensure offerings remain responsive and future-focused.
Cross-Department Alignment: Ensure departmental strategies are fully aligned with broader district initiatives including Ready Graduate, University MNPS, and Portrait of a Graduate.
Policy & Advocacy: Monitor relevant policy at the state and national level, influence local readiness policy, and advocate for student-centered changes that improve outcomes.
Resource Stewardship: Oversee significant personnel and program budgets and ensure effective use of resources to support equity and outcomes.",,,Executive Director of College and Career Readiness,CCR Executive Director,Executive Director,,,"District-level leadership, strategy, innovation, policy. Demonstrates strategic leadership, project oversight, and team management responsibilities."
Behavioral Specialist II,"Provides technical expertise to manage and administer enterprise application(s).  Defines, develops and implements strategies within the guidelines of the district's strategic framework and technology plan. Provides leadership and works with technical teams, department and business stakeholders and vendors to ensure an application's reliability, functionality and value in the district.",Bachelor's Degree  or year for year directly related work experience Required,1-3 years Application support/management Required,"Implements, administers, and manages life cycle of specified enterprise application(s).
Researches, defines and develops standards, proposals and process, and manages resources to ensure outstanding customer service, process improvements and incident resolution.
Work with vendors, stakeholders and senior management to develop, update and communicate product roadmaps.
Monitors and reports product availability, reliability, and vendor responsiveness in comparison to agreed upon service level agreements. Regularly meets with vendors to review and improve product and vendor performances, processes, and enhancements.
Coordinates with business owners, enterprise teams, and users in the development and implementation of business rules that govern access and use of enterprise applications.
Consistently collaborates with other enterprise teams to solve complex procedural, operational and technical problems.
Foster and manage relationships with stakeholders, customers and vendor partners.
Perform other related duties as assigned by the MNPS TIS EDS Management.",,"Strong knowledge of databases structures and applications lifecycles.
Plan and organize multiple projects simultaneously and adapt when necessary.
Understanding of enterprise level applications and data systems.
Ability to work collaboratively and communicate effectively.
Work and collaborate with cross functional teams",Behavioral Specialist II,Product Enterprise Applications Developer,Developer,,,Matches the Developer KSACs.
Accelerating Program Advisor,"The job performs a variety of tasks to assure appropriate services for the Accelerating Scholars high-impact tutoring program in Metro Nashville Public Schools. The Program Manager works with Accelerating Scholars staff, school-based staff, relevant support organizations, and tutors to monitor the tutoring program at schools. The Program Manager supports planning and managing evaluation services, records, resources, and tutor training, to facilitate a comprehensive program of service to students participating in Accelerating Scholars. The Program Manager is also responsible for working with others to accomplish the goals and objectives of the tutoring program and serves as a communication link to school personnel, parents, and community. This position is contingent upon grant funding and the continuing availability of funds and is expected to last until June 30, 2024.",Master's Degree  Preferred, Minimum 5 years related experience (including work in a K-12 public school and/or similar project management role) Required,"Works with colleagues to accomplish the goals and objectives of MNPS’ high-impact tutoring program.
Participates in the support of staff development for volunteer, staff, and student tutors and school-based staff. Facilitates and plans tutoring training sessions.
Manages communication and reporting processes with designated tutoring service providers
Facilitate the tutor-student rostering process by managing communication with schools regarding student selection and tutor recruitment
Performs special projects to support the growth and improvement of tutoring services as designated by the Coordinator of Accelerating Scholars
Collaborate with both internal and external Research teams to drive program improvement, promote equity, and improve data integrity
Collaborate with TN DOE and other external entities regarding program information and data for the district’s high-impact tutoring grants.
Periodically serves on-site at participating schools to support tutoring implementation",,"Excellent oral and written communication skills, proficiency with Microsoft Office Suite, expertise with Excel and other data reporting programs, ability to interact with a variety of stakeholders, understanding of general compliance guidance surrounding federal grants",Accelerating Program Advisor,Accelerating Scholars Program Manager,Manager,,,Matches the KSACs for Manager
Accounts Payable Specialist,"This position manages the activities of the Accounts Payable division to ensure accuracy in payments and accounts. There is significant coordination, project management, and planning required, as well as direct supervision of Accounts Payable staff. This position coordinates daily with Metro Finance/Metro departments and MNPS departments and departments on various financial matters.","Bachelor's Degree or equivalent combination of education and experience Required
 Business, Accounting, or Finance Majors Preferred","7-9 years Directly applicable experience managing individuals and groups of people in a financial setting, including prior experience working with outside clients (vendors, government officials, etc.) Required","Manages the Accounts Payable daily workflows in a high-volume environment; plans and implements A/P process improvements to improve efficiency, strengthen controls, and provide guidance to staff. Interprets and communicates work procedures and MNPS policies to staff.
Requests supporting documentation if the documentation provided for payment is insufficient.
Consults with the Director of Financial Operations on fiscal, personnel, and operational matters.
Measures accounts payable staff performance as well as facilitates process improvements to help ensure department goals are met.
Approves all invoices daily submitted by the Accounting Techs for payment.
Ensures timely and accurate payment of invoices, reviews and analyze A/P aging and other A/P reports.
Maintains positive work environment and recommends training and professional growth opportunities for staff to the Director of Financial Operations.
Serves as liaison with the external auditors to ensure thorough, accurate and timely annual audit.
Resolves customer complaints or answers customers' questions regarding policies, procedures and payment status. Provides employees with guidance in handling difficult or complex problems or in resolving escalated complaints or disputes.
Develops, implements and maintains systems, procedures and policies, including accounts payable functions to ensure adherence to company guidelines.
Prepares written and oral reports and presentations to School and Department Office Managers/Bookkeepers on Accounts Payable. Keeps management informed and advises management on finance issues/concerns.
Performs various managerial duties and assigns duties to staff. Trains, instructs and coaches employees on job duties and/or arranges for training to be provided. Evaluates employees' job performance and conformance to regulations; discusses job performance problems with employees to identify causes and issues and to work on resolving problems.",,"Management
JD Edwards
Microsoft Suites
Accounting
Finance
School Administration
Strong analytical and problem-solving skills
Good planning and organizational skills to balance and prioritize work",Accounts Payable Specialist,Accounts Payable Manager I,Manager,I,,Matches the KSACs for Manager
Executive Support Specialist,"The School Audit Training Specialist designs and conducts trainings for Bookkeepers regarding compliance, which requires presentation in front of both small and large groups of individuals. The Specialist also instructs on other areas of financial compliance, as needed, and assists Auditors and other staff with identifying deficiencies and aiding schools that need additional help and/or improvement. ",High School Diploma  Required, Minimum of 1 year or more of bookkeeping experience Required,"Must present and/or train in front of small to large groups of individuals.  Design and conduct new Bookkeeper training regarding student activity and internal school funds.  Present customized training and development programs and/or classes to all bookkeepers to equip them to become a strong financial source and perform their daily functions.il, supplemental salaries, escheatment, & any other duties assigned.
Uses creativity and research new methodologies to create engaging and informative training sessions or to improve training.  Monitors and reports the effectiveness of bookkeeper training.  Assist Auditors and the Director with identifying bookkeepers with deficiencies in a specific financial area.
Manages the audit helpdesk and entering vendor information to ensure accurate maintenance of vendor files.
Verifies monthly bank reconciliations and conducts internal & external transaction reviews of financial transactions.
Gathers, proofreads, calculates, and generate financial data and reports for the department.
Provide limited financial coverage on student activity funds when an extended absence has occurred with the bookkeeper. Gathers, proofreads, calculates, and generate financial data and reports.
Assist with administrative duties within the department such opening & distributing mail, supplemental salaries, escheatment, & any other duties assigned.
Work cohesively alongside Auditors in the department with aiding schools that need additional help or improvement in deficient areas as noted by the Auditor.",,"Minimum of 1 year or more of experience in a directly related field with experience conducting training programs and basic math computations.
Must be proficient in Microsoft Office Suite, especially Excel, PowerPoint and Outlook.
Must be detail oriented and able to speak with small to large groups of people.
Schoolfunds Online and School Cash Online experience is desirable.
Must have thorough knowledge of completing and processing financial documents.
Must have and maintain working knowledge of bookkeeping and auditing accepted practices, policies, and procedures.
Skills in research, resolving problems, organization, oral, and written communication is necessary.
Must be able to work on a flexible daily schedule and be a self-starter.
Must have the ability to work independently and as a team thatâ€™s conducive to a positive work environment is essential.",Executive Support Specialist,School Audit Training Assistant I,Assistant,I,,"Meets the minimum requirements for an assistant, tasks are routine and have minor impact, only on unit, with all job tasks under established guidelines and reviewed frequently. Matches the Assistant KSACs."
School Support Specialist,"Data is essential to helping us meet our goals and drive our high-impact tutoring program, Accelerating Scholars. The Data Specialist works closely with the Accelerating Scholars Data Manager to create and maintain systems for accurate and timely tracking and reporting of tutoring data including stakeholder surveys, student attendance and academic data, tutor applications and attendance, and staff payroll data.  The Data Specialist will also support the collection and reporting of data from contracted tutoring service vendors.  This position is contingent upon grant funding and the continuing availability of funds and is expected to last until June 30, 2024. _x000d_
",Bachelor's Degree  Required,1-3 years related experience Required,"Support the creation and or/maintenance of program databases for stakeholder feedback surveys, tutor and student attendance, student academic data, and staff payroll data.
Support the administration and collection of stakeholder survey data feedback for program evaluation.
Manage the collection of tutor contracts and attendance data used for payroll.
Facilitate the tutor-student rostering process.
Manage requisition of supplies and materials for tutoring program; support with reimbursement requests and expenditure reporting for associated grants.
Support the creation of reports for TN DOE and other external entities regarding program data for the districtâ€™s high-impact tutoring grants.",,"Excellent oral and written communication skills.
Expertise with Excel and other data reporting programs including Power BI.
Ability to interact with a variety of stakeholders.
Understanding of general compliance guidance surrounding federal grants.",School Support Specialist,Accelerating Scholars Specialist I,Specialist,I,,"The best match for this job is Associate given the KSACs needed to complete the essential functions, including ""Project Management"", ""Data Analysis"", and ""Regulatory Compliance"", but the position far exceeds the bounds of the Associate position, so Specialist is the next best fit, given the education/experiential requirements slot in perfectly and the KSACs between an Associate and a Specialist are similar."
Payroll Records Specialist,"The Chef will assist in researching, developing and implementing various culinary training projects that will enhance Nutrition Services.  Develop and implement new recipes and menus that meet local, state, and federal guidelines.",Associate's Degree in Culinary Arts Required," Minimum of two years’ applicable experience in culinary arts, including training and developing staff and creating recipes Required","Checks the quality of raw or cooked food products to ensure that standards are met while staying abreast of regulations and ensures that cafeteria operations comply with federal, state and local laws.
Monitors sanitation practices to ensure that employees follow standards and regulations.
Demonstrates and operates kitchen equipment and assists staff in maintaining equipment.
Supervises and coordinates activities of cooks/workers engaged in food preparation and shares information on social media outlets.
Inspects supplies, equipment or work areas to ensure conformance to established standards.
Trains staff in the preparation, cooking, garnishing, or presentation of food in decorative displays.  Demonstrates and coaches’ staff on timesaving and efficient culinary skills.
Collaborates with other stakeholders to plan and develop recipes or menus considering seasonal availability of ingredients and quantity needed. Estimates quantity and costs of supplies, food and ingredients to control cost and requisitions food supplies.","DL NUMBER - Driver License, Valid and in State Valid driver’s license with a personal vehicle available for travelling to school sites daily  Required
SAFE Serve Certification   Required",,Payroll Records Specialist,Chef,Chef,,,"Matches the Chef KSACs, including Culinary Techniques, Kitchen Management, and Cooking Methods."
Data Specialist III,"Assists with data collection, analysis, and reporting.  Responds to data requests.  Responsible for loading student data into the State's Educational Information System and monitoring activities related to student improvement data.",Bachelor's Degree In applicable field  Required, Two (2) or more years related experience Required,"Maintains a functional understanding of existing data sources, structures, and data organization.
Generates, reviews and uploads data extracts from the student management system to EIS.
Maintains computerized collection and tracking of relevant data, converting and importing data from different file types as necessary. Utilizes software packages to organize and merge data files.
Responds to basic data requests from District staff and community stakeholders. Describes available data and identifies relevant information.
Maintains data quality by troubleshooting and correcting problems.
Maintains knowledge of state reporting changes and communicates procedural changes to users of the student management system to ensure district compliance.
Creates data documentation substantiated with specific facts. Ensures that documents can be understood by technical and non-technical personnel.",,"Must be proficient in or have the aptitude for software packages such as WORD, EXCEL, and SPSS.",Data Specialist III,Data Quality and Integrity Analyst I,Analyst,I,,"Matches the Analyst KSACs the best, including Data Analysis, Analytical Thinking, and Attention to detail. Given the lower scope and the lack of supervisory duties, I've placed this as a level I role."
Administrative Operations Specialist,"Financial record duties:  Routinely calculates, reviews, creates, posts, & verify financial transactions & reports in appropriate accounting software & proper account(s) to ensure accuracy as required for the function & operation of the school.  Reviews financial transactions & any other school financial documents to ensure compliance with the Tennessee Internal School Uniform Accounting Policy manual (TISUAPM) and MNPS policies & procedures to safeguard public funds.  Knowledgeable of the TISUAPM and MNPS policies & procedures as well as informing all school staff and Principal of these policies & procedures at all times.  Communicates effectively & works closely with other MNPS departments.  Payroll duties: Compiles and records employee time, attendance, and payroll data for school based employees and substitutes. Computes employees' time worked, production, and stipends for bi-weekly payroll.   Compiles and submits substitute attendances', appraisals, and utilizes Smartfind in lieu of substitute forms and documentation","Associate's Degree in Business, Accounting, or Finance Required","1-3 years of previous financial work-related skill, knowledge, or experience Required","Reviews, records, summarizes, posts and verifies numerical and financial data to compile and keep financial records accurate, using accounting software, reports, journals and ledgers.
The school secretary clerk or principal designee will record monies depending upon various circumstances. (i.e. no other personnel to complete the collection log).  The school secretary clerk or principal designee in the absence of the bookkeeper, receives and verifies all monies, and secures them in a safe or vault until the funds can be turned over to the bookkeeper to verify, receipt, and make deposit of all cash and checks in accordance with the TISUAPM & MNPS policy.  Bookkeeper prepares school purchase orders for all School Fund expenditures as properly authorized by Principal.  Verifies accounts on computer spreadsheets and software to ensure fund availability to make school purchases.  Pays invoices timely within 30 days.  Prepares student activity fund monthly bank reconciliation using specialized accounting software.  Provides accurate financial information and explanations for internal & external auditors for the purpose of the annual individual school audit and district audit.
Compiles statistical and financial documentation for such matters as cash receipts, expenditures, and accounts payable and receivable.
Complies with federal, state and company policies, procedures and regulations. Codes documents according to company procedures. Reconciles, notes and/or reports discrepancies found in records.
Reviews time sheets, work charts, wage computations, and other information to detect and reconcile payroll discrepancies.
Verifies attendance, hours worked, and pay adjustments, and post information onto designated records. Computes and compiles employee time, production, and payroll data from time sheets and other records.
Records employee information, such as exemptions, transfers, and resignations, to maintain and update payroll records.
Keeps track of leave time, such as vacation, personal, comp-time, and sick leave, for employees.",,"Payroll software, Accounting, Bookkeeping, Microsoft Office Suite (especially Excel)",Administrative Operations Specialist,School Payroll Records Technician I,Technician,I,,"Matches the Technician KSACs, including troubleshooting, problem-solving, collaborates, and technical expertise. Based on qualifications and scope, position is level 1. "
Nutrition Services Specialist III,"This position will under general direction, perform advanced operating level technical accounting work maintaining accounts and financial records in an established accounting system; performs related work as required. Ensure that MNPS vendors and suppliers are paid within established time limits.","Associate's Degree in Business, Accounting, or Finance Preferred"," Four (4) years of applications, technical and or financial related experience, including two (2) years of experience in a governmental accounts payable, or similar financial environment Required","Match vendor invoices to supporting purchase orders and receiving entries or reports.
Keep up with discounts, notice of corrections, and follow-up on vendor inquiries.
Reconcile vendor statements as assigned and log findings for Supervisor’s review.
Assist with vendor related issues received via emails and phone calls. Assist with training the A/P Accounting Technician I on systems and processes.
Work with other departments and schools to determine appropriate coding for entry into the general ledger.
Pull monthly invoices from vendors systems as assigned and work closely with the Accounts Payable Supervisor to assign account codes and contact departments for the appropriate PO numbers before scanning for processing.
Work the A/P hold items daily to release for payment processing.
If needed, be able to scan invoices into Kofax Capture V8, and validate invoices in Application Xtender V5.4.; and apply knowledge of processing cycles within the accounting system to trace transactions entered.",,"Skill in the use of Microsoft Word, Excel, Access, KOFAX, JD Edwards, and other software applications.
Excellent customer service and communication skills.
Detail oriented.
Ability to deal effectively with the public.
Ability to establish and maintain effective working relationships
Ability to handle large volumes of transactions.
Time management oriented to meet production deadlines.",Nutrition Services Specialist III,Accounts Payable Specialist I,Specialist,I,,"Matches the Specialist KSACs, including Industry Specific Knowledge, Subject Matter Expertise, and Advanced Technical Skills."
Elementary Education Specialist,"The Department of Research, Assessment, and Evaluation is dedicated to supporting Metro Nashville Public Schools in implementing data-informed and evidence-based policy and practice. The Data Analyst – ESSER plays a critical role in supporting the department's Research and Evaluation team with cleaning, documenting, analyzing, and reporting on quantitative student, employee, and school data to support research on and evaluation of ESSER-related initiatives and programs. The Data Analyst will spend a majority of their time working with large, complex data sets to create a research-ready database and dashboards. ",Master's Degree in relevant field Required, Experience in research design Preferred,"Lead the development of a new research-ready longitudinal database, including gathering requirements, developing business rules, determining data table structures, cleaning data, and writing detailed documentation. The database will be created to support research on and evaluation of activities that address needs of low-income students, students with disabilities, English Learners, racial and ethnic minorities, students experiencing homelessness, and foster care youths.
Lead the design process for creating clear and compelling data visualizations and/or interactive data dashboards for families, faculty, and staff to assist in completing unfinished learning and to assist students to meet academic and non-academic goals.
Independently prepare data and/or analyses in support of the department’s research and evaluation agenda and the research-practice partnership with Peabody College.
Create custom datasets for internal and external researchers and evaluators. This includes assisting researchers and evaluators in identifying necessary data elements.
Fulfill internal and external requests for record-level and aggregate data, such as public records requests on ESSER-funded programs and initiatives, in a timely manner.
Work with district cyber security manager to ensure data security and protection of personally identifiable information while providing appropriate student and/or staff data to researchers or families.
Prepare data for local, state, and federal reporting, as needed.
Produce clear written summaries (e.g. reports, briefs, one-pagers, and slides) of data and/or analyses for non-technical audiences.
Support colleagues and others with understanding and interpreting complex data to improve academic outcomes.
Support the department with conducting quality assurance of data and reports.",,"The Data Analyst – ESSER must be comfortable writing code to clean and analyze large, complex data sets using statistical software, e.g. SPSS (preferred), Stata, or R.
Familiarity with SQL, Excel (including macros), and Power BI (or similar software) is preferred.
Superior attention to detail is essential.",Elementary Education Specialist,Data RAE ESSER Analyst III,Analyst,III,,"Matches the Analyst KSACs the best, including Data Analysis, Analytical Thinking, and Attention to detail. Given the increased scope and project leading, I'd slot this as a III."
CCR Data Coach,"The poistion plays a key role in building educator and leader capacity to use data in support of college and career readiness outcomes. This role supports school-based and district staff in accessing, interpreting, and acting on key metrics related to Early Postsecondary Opportunities (EPSOs), ACT performance, FAFSA completion, credential attainment, and the Ready Graduate indicator. Unlike the Coordinator of CCR Data Systems, who manages infrastructure and reporting tools, the Data Coach provides professional learning and job-embedded support to ensure data is used meaningfully to inform decision-making, support equity, and drive continuous improvement. The Coach should be a collaborative, analytically minded educator who understands how to translate complex data into practical action. The CCR Data Coach ensures that data is not just collected—but understood, shared, and used to advance college and career readiness for all students.",,,"Data Literacy Coaching: Provide job-embedded coaching to counselors, teachers, coaches, and school leaders on interpreting and using CCR data to inform advising, instruction, and school planning.
Professional Learning Facilitation: Design and deliver professional development focused on data use, equity analysis, and CCR goal setting aligned with school improvement plans.
Tool Use and Application Support: Help staff access and effectively use CCR dashboards, data trackers, and planning tools created by the CCR Systems team.
Continuous Improvement Support: Guide school teams through reflective cycles using data to identify gaps, track progress, and adjust readiness strategies.
Cross-Functional Collaboration: Work in partnership with CCR directors, coordinators, and school-based teams to align data practices across advanced academics, career readiness, and counseling.
Readiness Goal Alignment: Ensure coaching and support is clearly tied to districtwide outcomes for Ready Graduate indicators and student postsecondary success.
Equity-Focused Data Use: Support staff in using data to identify opportunity gaps and develop targeted supports for historically underserved student populations.",,,CCR Data Coach,Postsecondary Data Coach,Coach,,,"Data literacy, PD facilitation; aligns with KSACs for this role. Aligned with Coach KSACs."
Spec GIS,"The position is responsible for the coordination of all Geographical Information System functions, including updates to the GIS database and access via the network or web. This position will perform duties associated with compilation and maintenance of MNPS GIS layers. This position will use MNPS' enterprise portal and ArcGIS Online to help MNPS customers create and maintain their content.

The position may report to different departments based on specific project requirements or organizational needs.
",Bachelor's Degree in GIS or equivalent field from an accredited institution Required," 2-3 years of AutoCAD, GIS, and drafting related experience and/or training Required","Use a variety of spatial editing techniques to accurately create and update an array of GIS datasets.
Monitor and maintain data inventory records relating to GIS dataset update cycles. Maintain the MNPS’ GIS system hardware and software.
Conduct GIS analysis tasks and generate cartographic products as needed.
Create and maintain content within MNPS’ enterprise portal and ArcGIS Online.  Verify accuracy and completeness of GIS datasets.
Serve on team to procure vendor(s) to create GIS interfaces. Coordinate/collaborate with vendor on delivery of product. Serve as the main point of contact with the vendor. Report status of implementations to Directors
Document data maintenance and analysis procedures.
Collect GPS data in the field and imports into GIS database. Set up/maintains web maps and network access to GIS mapping and create maps as requested.
Maintain MNPS’s CAD base file of all schools and updates them periodically as changes are made to the buildings.  Converts CAD plans of new buildings into MNPS standard layer system, adds shape elements and integrates new CAD into existing GIS database.
Accesses construction drawings stored on third party hosting platform as requested and provides the relevant drawings.  Mark up drawings as requested to locate utilities as requested.", Certificate from accredited college or technical school in related field   Preferred,"Extensive knowledge of computer hardware and software, including AutoCAD, ArcGIS and Arc SDE.
Ability to read and interpret construction plans and specifications.
Ability to operate handheld GPS device.
Knowledge of ESRI, Windows, MS Office, and other commonly used software.
Must have effective verbal and written communication skills.
Ability to establish and maintain an effective relationship with the public and other employees.",Spec Customer Experience II,Customer Experience Specialist II,Specialist,II,,"The qualifications for this role are on the higher end of the spectrum for specialists, requiring a bachelor’s degree in a relevant field with certification related to the role and 1-3 years of experience in a technical support role. While several of the essential functions relate directly to the KSACs outlined in the Technician Role, specifically the technical expertise, diagnostic techniques, and troubleshooting, the majority of the essential functions operate on a higher level. Subject matter expertise, Industry-specific knowledge, and cultural intelligence are all required for the functions that require the role to monitor technological trends, as well as evaluating and recommending new technology. The role also demonstrates problem-solving, communication, and collaboration, working with stakeholders to recommend modifications and address issues relating to the role’s scope and work. Due to the higher-level work and the more advanced qualifications, it is prudent to place the position at a higher level than others, such as the Routing Specialist. Level 2, at least, is recommended."
Coordinator of AVID,"The incumbent provides leadership and operational support to ensure the AVID (Advancement Via Individual Determination) program is implemented with fidelity across MNPS schools. This role is responsible for managing systems, resources, and school-based supports that embed AVID strategies as a driver of the district's college and career readiness culture. The Coordinator works collaboratively across CCR and district teams to ensure AVID implementation aligns with advising systems, EPSO access, and equity goals. The Coordinator supports schools in using AVID to close opportunity gaps, promote rigorous instruction, and build student agency in preparation for postsecondary success. The Coordinator of AVID plays a key role in ensuring AVID is not simply a stand-alone program but an embedded system that transforms college and career readiness culture across schools. This role requires collaboration, strategic alignment, and a strong commitment to expanding opportunity through proven instructional and advising practices.",,,"Program Oversight and Support: Coordinate and support AVID implementation across participating schools, ensuring alignment with national standards and district CCR goals.
System and Resource Management: Manage tools, templates, and planning structures that help schools integrate AVID strategies into classroom instruction, transition planning, and academic advising.
Cross-Team Collaboration: Partner with the CCR Systems team, Advanced Academics, Counseling, and school leadership to embed AVID into the broader readiness infrastructure, ensuring it complements EPSO planning and advising systems.
Professional Learning Coordination: Organize and manage logistics for AVID-related professional learning, including Summer Institute, coaching, and AVID site team development.
School Support and Communication: Serve as a primary point of contact for AVID site coordinators, school leaders, and teachers, providing regular updates, implementation support, and coaching connections.
Fidelity Monitoring and Continuous Improvement: Collaborate with CCR Systems and data teams to monitor AVID enrollment, usage, and impact. Use data to identify implementation gaps and guide improvement efforts.
Equity and Access Leadership: Support efforts to expand AVID as a tool to improve postsecondary readiness for historically underserved students, including intentional integration into advising practices.",,,Coordinator of AVID,AVID Implementation Coordinator,Coordinator,,,"Training and implementation, no direct fiscal ownership. While role is not as clear of a programmatic lead program and resource implementation; borderline Manager, but acceptable as Coordinator"
Accounts Specialist II,"The essential function of the position within the organization is to provide physical therapy service for designated students.  The position is responsible for providing physical therapy, assessing students' needs, maintaining service records, and preparing reports.  The position works under general supervision according to some procedures; decides how and when to complete tasks.",Associate's Degree or the equivalent of two years of college or vocational school education resulting in approved certification as a Physical Therapist Assistant Required,less than 1 year of related experience Required,"Provides school-related physical therapy services for designated students according to individual goals.
Follows therapy intervention strategies related to classroom activities.
Assists Physical Therapy staff in identifying and assessing students’ basic skills and abilities in gross motor function, balance and equilibrium, orthopedic status, motor planning, developmental function, range of motion, postural tone, gait, reflex integration, and kinesthesia.
Monitors use of adaptive equipment and other assistive device during therapy service sessions with students.
Recommends or develops assistive devices used in classrooms.
Provides assistance to classroom teachers by demonstrating exercises and activities.
Documents therapy received and records progress; maintains a variety of service related logs and prepares reports.
Inputs student data to personal computer and extracts lists of students receiving services.
Orders supplies, equipment, and assessment materials.
Contacts School District staff, parents, physicians, and various agencies related to physical therapy services.
Meets with Physical Therapists to report parent and teacher concerns and issues.",PTA - Physical Therapist Assistant State registration  Required,,Accounts Specialist II,Physical Therapy Assistant,Assistant,I,,"Matches Therapy KSACs the best, but does not meet the minimum requirements of the position. As a result, Assistant was chosen as the next best fit due to KSACs such as Administrative Procedures, computer skills, collaborates, and customer focus. Due to the limited scope of the position and the qualifications nearly matching the minimum bounds of the assistant position, this is a level 1. "
Coordinator of Career and Technical Education (CTE),"The role supports high-quality implementation of CTE programming across MNPS high schools by ensuring that educators and school leaders have the tools, resources, and guidance they need to offer rigorous, relevant, and accessible CTE instruction. Reporting to the Director of Career Academies, this role focuses on the day-to-day coordination of systems and supports that help schools implement CTE programs of study aligned with industry expectations, graduation requirements, and district career readiness goals. The Coordinator plays a key role in ensuring CTE programs are seamlessly integrated into each high school's academic model and contribute meaningfully to students' preparation for postsecondary success. The CTE Coordinator ensures that implementation is strong, consistent, and aligned to the broader vision of college and career readiness in MNPS.",,,"Program Coordination: Maintain up-to-date systems and tools to support implementation of CTE programs of study, including course planning resources, program maps, and instructional guidance aligned to state expectations.
Resource and Tool Management: Coordinate the distribution and support of instructional resources, equipment management processes, and materials that ensure classroom readiness and instructional quality.
School Support: Serve as a primary point of contact for CTE-related implementation questions from teachers and school leaders. Offer timely, practical guidance aligned with program goals and instructional expectations.
Communication and Training: Manage clear, consistent communication to school-based staff regarding key deadlines, state updates, program requirements, and professional learning opportunities.
Collaboration: Work closely with the CTE Instructional Coach, Director of Career Academies, and other CCR staff to ensure programming is aligned, supported, and continuously improved.
Credentialing Support: Coordinate resources, systems, and school supports that assist students in preparing for and earning industry-recognized credentials.
Professional Learning Logistics: Support the planning and execution of professional development for CTE teachers, including logistics, materials, and follow-up resources.
Operational Alignment: Collaborate with data analysts, grants staff, and school-based teams to ensure CTE programs are functioning efficiently and aligned to state and district expectations without duplicating compliance-focused responsibilities.",,,Coordinator of Career and Technical Education (CTE),CTE Program Coordinator,Coordinator,,,"Program and resource implementation; borderline Manager, but acceptable as Coordinator. Demonstrates program leadership and resource allocation responsibilities, distinguishing it from Advisor roles."
Inventory Specialist,"Support the recording, monitoring and reporting of student attendance. ",High School Diploma or GED Required,less than 1 year in an office setting supporting clerical operations of a basic nature Required,"Compiles, copies, sorts and files records of student attendance
Operates office machines, such as copiers, scanners, fax machines, and personal computers
Interacts with parents, school administration, teachers and support
Create reports to track attendance trends and data",,"Attention to detail, basic computer skills including familiarity with Microsoft Office Suite, good verbal and written communication skills, sense of urgency-able to work effectively to meet deadlines, customer service orientation, able to create basic reports in Excel",Inventory Specialist,Attendance Clerk I,Clerk,I,,"Matches the Clerk KSACs, including Data Entry, Computer Skills, and Customer Service. Position has no real span of control, minimal scope that only affects the work unit, and performs semi-routine work, placing it at a level I."
